epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8062043786048889,0.3333333333333333,0.25,0.8125
2,0.7273069818814596,0.6666666666666666,0.4,0.6875
3,0.6728954414526621,0.6666666666666666,0.4,0.625
4,0.715821901957194,0.6666666666666666,0.4,0.71875
5,0.7200624644756317,0.6666666666666666,0.4,0.71875
6,0.7206465105215708,0.3333333333333333,0.25,0.625
7,0.7049036224683126,0.3333333333333333,0.25,0.625
8,0.6930939853191376,0.6666666666666666,0.4,0.6875
9,0.7157674531141917,0.6666666666666666,0.4,0.703125
10,0.6961406171321869,0.6666666666666666,0.4,0.5625
11,0.6963640451431274,0.6666666666666666,0.4,0.5625
12,0.6944553156693777,0.6666666666666666,0.4,0.65625
13,0.6909038424491882,0.6666666666666666,0.4,0.625
14,0.692447433869044,0.6666666666666666,0.4,0.40625
15,0.6859182417392731,0.6666666666666666,0.4,0.4375
16,0.7052224377791086,0.6666666666666666,0.4,0.40625
17,0.6975680390993754,0.6666666666666666,0.4,0.5
18,0.6926426688830057,0.6666666666666666,0.4,0.59375
19,0.6921294728914896,0.6666666666666666,0.4,0.65625
20,0.6931952635447184,0.6666666666666666,0.4,0.609375
21,0.6980800728003184,0.6666666666666666,0.4,0.5
22,0.6951284408569336,0.6666666666666666,0.4,0.46875
