epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7140676478544871,0.6666666666666666,0.4,0.78125
2,0.7383242944876353,0.3333333333333333,0.25,0.4375
3,0.6879653533299764,0.6666666666666666,0.4,0.40625
4,0.7228064239025116,0.6666666666666666,0.4,0.265625
5,0.6831610302130381,0.6666666666666666,0.4,0.4375
6,0.7173243463039398,0.3333333333333333,0.25,0.25
7,0.7072393596172333,0.3333333333333333,0.25,0.578125
8,0.689035564661026,0.3333333333333333,0.25,0.390625
9,0.6804532806078593,0.6666666666666666,0.4,0.359375
10,0.7335418959458669,0.6666666666666666,0.4,0.671875
11,0.6916291912396749,0.6666666666666666,0.4,0.375
12,0.6668751239776611,0.6666666666666666,0.4,0.484375
13,0.7178053160508474,0.6666666666666666,0.4,0.234375
14,0.7095697124799093,0.3333333333333333,0.25,0.59375
15,0.6915283501148224,0.3333333333333333,0.25,0.5625
16,0.698220690091451,0.6666666666666666,0.4,0.5
17,0.6872988442579905,0.6666666666666666,0.4,0.1875
18,0.6927501161893209,0.6666666666666666,0.4,0.140625
19,0.7119282484054565,0.6666666666666666,0.4,0.328125
20,0.6790306468804678,0.6666666666666666,0.4,0.234375
21,0.7133130431175232,0.6666666666666666,0.4,0.46875
