epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7131032447020212,0.6666666666666666,0.4,0.5
2,0.7246385514736176,0.6666666666666666,0.4,0.4375
3,0.7105901340643564,0.6666666666666666,0.4,0.375
4,0.6962859034538269,0.3333333333333333,0.25,0.375
5,0.7361758748690287,0.6666666666666666,0.4,0.46875
6,0.6902030408382416,0.6666666666666666,0.4,0.46875
7,0.6976431409517924,0.6666666666666666,0.4,0.53125
8,0.7125158111254374,0.3333333333333333,0.25,0.5
9,0.7127863963445028,0.6666666666666666,0.4,0.46875
10,0.7073586483796438,0.6666666666666666,0.4,0.4375
11,0.6950082282225291,0.6666666666666666,0.4,0.40625
12,0.7166733841101328,0.6666666666666666,0.4,0.3125
13,0.7112056811650594,0.6666666666666666,0.4,0.34375
14,0.6989127198855082,0.3333333333333333,0.25,0.375
15,0.7000115315119425,0.3333333333333333,0.25,0.40625
16,0.7006840407848358,0.6666666666666666,0.4,0.390625
17,0.6962321599324545,0.6666666666666666,0.4,0.3125
18,0.6972724894682566,0.6666666666666666,0.4,0.25
19,0.6937826971213022,0.6666666666666666,0.4,0.28125
20,0.6902350684007009,0.6666666666666666,0.4,0.21875
21,0.6906073490778605,0.6666666666666666,0.4,0.3125
