epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8284190694491068,0.6666666666666666,0.4,0.75
2,0.743947297334671,0.6666666666666666,0.4,0.53125
3,0.7384473383426666,0.6666666666666666,0.4,0.65625
4,0.6995269060134888,0.3333333333333333,0.25,0.5
5,0.6901543537775675,0.6666666666666666,0.4,0.53125
6,0.6909797390302023,0.6666666666666666,0.4,0.4375
7,0.6899126867453257,0.3333333333333333,0.25,0.34375
8,0.6695635418097178,0.6666666666666666,0.4,0.3125
9,0.7090138097604116,0.6666666666666666,0.4,0.71875
10,0.6912504136562347,0.6666666666666666,0.4,0.53125
11,0.6874671081701914,0.6666666666666666,0.4,0.65625
12,0.7151137789090475,0.6666666666666666,0.4,0.53125
13,0.727667897939682,0.6666666666666666,0.4,0.578125
14,0.6990487277507782,0.6666666666666666,0.4,0.3125
15,0.7212422589461008,0.3333333333333333,0.25,0.515625
16,0.6919192572434744,0.6666666666666666,0.4,0.53125
17,0.72207839290301,0.6666666666666666,0.4,0.171875
18,0.699403444925944,0.6666666666666666,0.4,0.625
19,0.6990264058113098,0.6666666666666666,0.4,0.78125
20,0.7045361896355947,0.6666666666666666,0.4,0.53125
21,0.6931421359380087,0.6666666666666666,0.4,0.78125
