epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7257319887479147,0.3333333333333333,0.25,0.375
2,0.7246960401535034,0.6666666666666666,0.4,0.484375
3,0.7018971145153046,0.3333333333333333,0.25,0.625
4,0.6746787329514822,0.3333333333333333,0.25,0.578125
5,0.6889882485071818,0.3333333333333333,0.25,0.25
6,0.7268155813217163,0.6666666666666666,0.4,0.28125
7,0.6899650792280833,0.6666666666666666,0.4,0.59375
8,0.6872494916121165,0.6666666666666666,0.4,0.65625
9,0.6917849481105804,0.6666666666666666,0.4,0.46875
10,0.7083829740683237,0.6666666666666666,0.4,0.65625
11,0.7059843440850576,0.6666666666666666,0.4,0.9375
12,0.7061464587847391,0.6666666666666666,0.4,0.734375
13,0.6941351890563965,0.3333333333333333,0.25,0.515625
14,0.7125028769175211,0.6666666666666666,0.4,0.625
15,0.6991599897543589,0.6666666666666666,0.4,0.34375
16,0.7088372011979421,0.6666666666666666,0.4,0.375
17,0.7125308811664581,0.6666666666666666,0.4,0.59375
18,0.7085595627625784,0.3333333333333333,0.25,0.75
19,0.7039973437786102,0.6666666666666666,0.4,0.65625
20,0.6990678906440735,0.6666666666666666,0.4,0.515625
21,0.6922242343425751,0.6666666666666666,0.4,0.53125
22,0.6952475110689799,0.6666666666666666,0.4,0.421875
