epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7950531343619028,0.3333333333333333,0.25,0.53125
2,0.6754341820875803,0.6666666666666666,0.4,0.4375
3,0.7167805631955465,0.6666666666666666,0.4,0.40625
4,0.6947905222574869,0.6666666666666666,0.4,0.34375
5,0.7018704613049825,0.6666666666666666,0.4,0.59375
6,0.7009653250376383,0.6666666666666666,0.4,0.546875
7,0.6914457976818085,0.6666666666666666,0.4,0.6875
8,0.7376353641351064,0.3333333333333333,0.25,0.296875
9,0.7201518515745798,0.6666666666666666,0.4,0.75
10,0.7025222579638163,0.6666666666666666,0.4,0.46875
11,0.7103133797645569,0.3333333333333333,0.25,0.75
12,0.7083650628725687,0.3333333333333333,0.25,0.359375
13,0.6977078219254812,0.6666666666666666,0.4,0.234375
14,0.706458181142807,0.6666666666666666,0.4,0.28125
15,0.6961783468723297,0.6666666666666666,0.4,0.46875
16,0.6913045644760132,0.6666666666666666,0.4,0.296875
17,0.693360428015391,0.3333333333333333,0.25,0.359375
18,0.7006156841913859,0.6666666666666666,0.4,0.71875
19,0.6979483067989349,0.6666666666666666,0.4,0.546875
20,0.6886072258154551,0.6666666666666666,0.4,0.578125
21,0.6945966879526774,0.6666666666666666,0.4,0.515625
22,0.6985538502534231,0.6666666666666666,0.4,0.390625
