epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7846332550048828,0.4,0.2857142857142857,0.4166666666666667
2,0.6992842316627502,0.4,0.2857142857142857,0.5
3,0.706954836845398,0.6,0.375,0.33333333333333337
4,0.7314049243927002,0.6,0.375,0.45833333333333337
5,0.6717772483825684,0.4,0.2857142857142857,0.45833333333333326
6,0.6892018795013428,0.6,0.375,0.7083333333333334
7,0.7126175165176392,0.4,0.2857142857142857,0.5833333333333334
8,0.6905779242515564,0.6,0.375,0.5625
9,0.7013275861740113,0.6,0.375,0.4791666666666667
10,0.6825858116149902,0.6,0.375,0.45833333333333337
11,0.6974649786949157,0.6,0.375,0.4791666666666667
12,0.6889120817184449,0.6,0.375,0.5624999999999999
13,0.696563470363617,0.4,0.2857142857142857,0.5416666666666667
