epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6534566779931387,0.75,0.6974789915966386,0.59375
2,0.3298351764678955,0.4166666666666667,0.4125874125874126,0.6875
3,0.4750975891947746,0.9166666666666666,0.9111111111111111,1.0
4,0.17618389800190926,0.8333333333333334,0.8125,0.875
5,0.19141322374343872,0.9166666666666666,0.8991596638655461,0.90625
6,0.1764735964437326,1.0,1.0,1.0
7,0.5241444899390141,0.75,0.7482517482517483,1.0
8,0.17919723068674406,0.5833333333333334,0.5804195804195804,0.90625
9,0.27422643825411797,0.8333333333333334,0.8125,0.875
10,0.158215606585145,0.6666666666666666,0.625,0.875
11,0.07413196253279845,0.75,0.7333333333333334,0.90625
12,0.08526886564989884,0.9166666666666666,0.9111111111111111,0.96875
13,0.09688116113344829,0.9166666666666666,0.8991596638655461,0.9375
14,0.09577737624446551,0.75,0.6974789915966386,0.875
15,0.025894586617747944,0.75,0.6974789915966386,0.9375
16,0.19015260669402778,0.75,0.6974789915966386,0.9375
17,0.17665145297845206,0.9166666666666666,0.8991596638655461,0.96875
18,0.07165812592332561,0.8333333333333334,0.8125,0.90625
19,0.1768894299554328,0.5833333333333334,0.5804195804195804,0.84375
20,0.11173994947845738,0.75,0.7333333333333334,0.84375
21,0.15229093322219947,0.75,0.7333333333333334,0.8125
22,0.06808154517784715,0.6666666666666666,0.6571428571428571,0.84375
23,0.11775208668162425,0.75,0.7333333333333334,0.875
24,0.10782649647444487,0.9166666666666666,0.8991596638655461,0.8125
25,0.041635075118392706,0.9166666666666666,0.8991596638655461,0.78125
26,0.026512499743451674,0.9166666666666666,0.8991596638655461,0.84375
27,0.06057858280837536,0.8333333333333334,0.8125,0.90625
28,0.02642622551259895,0.8333333333333334,0.8125,0.90625
29,0.08234773733420298,0.8333333333333334,0.8125,0.875
30,0.0479031644645147,0.75,0.7333333333333334,0.90625
31,0.006901397039958586,0.8333333333333334,0.8125,0.875
32,0.009106454905122519,0.8333333333333334,0.8125,0.875
33,0.0690192425584731,0.9166666666666666,0.8991596638655461,0.875
34,0.050571924104588106,0.8333333333333334,0.8125,0.8125
35,0.050226720224600285,0.8333333333333334,0.8125,0.75
36,0.08066845349579428,0.75,0.7333333333333334,0.78125
