epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6872222721576691,0.4166666666666667,0.37777777777777777,0.71875
2,0.35657569269339245,0.5,0.4857142857142857,0.8125
3,0.17221819733579954,0.5833333333333334,0.5804195804195804,0.8125
4,0.07995582247773807,0.5,0.4857142857142857,0.875
5,0.035586949127415814,0.5,0.4857142857142857,0.875
6,0.03400695354988178,0.6666666666666666,0.6571428571428571,0.875
7,0.10358873568475246,0.5833333333333334,0.5804195804195804,0.875
8,0.08882307183618347,0.5833333333333334,0.5804195804195804,0.875
9,0.04272618299971024,0.75,0.7333333333333334,0.75
10,0.054181039022902645,0.75,0.7333333333333334,0.8125
11,0.02993166446685791,0.8333333333333334,0.8285714285714285,0.875
12,0.09636692019800346,0.75,0.7333333333333334,0.875
13,0.019991740584373474,0.6666666666666666,0.625,0.875
14,0.016527314049502213,0.6666666666666666,0.625,0.84375
15,0.00894203696710368,0.75,0.7333333333333334,0.84375
16,0.015020819070438543,0.6666666666666666,0.625,0.84375
17,0.028614486490065854,0.6666666666666666,0.625,0.875
18,0.10387790269063164,0.75,0.7333333333333334,0.84375
19,0.026899294850106042,0.75,0.7333333333333334,0.8125
20,0.27021015419935185,0.8333333333333334,0.7777777777777777,0.9375
21,0.03441727984075745,0.8333333333333334,0.7777777777777777,0.84375
22,0.17332694749347866,0.6666666666666666,0.625,0.84375
23,0.014406655604640642,0.6666666666666666,0.625,0.84375
24,0.12679982697591186,0.8333333333333334,0.7777777777777777,0.75
25,0.20302486140280962,0.8333333333333334,0.7777777777777777,0.71875
26,0.33689617613951367,0.8333333333333334,0.7777777777777777,0.8125
27,0.09638483884433906,0.75,0.6974789915966386,0.84375
28,0.22269181162118912,0.8333333333333334,0.8125,0.8125
29,0.10215624297658603,0.75,0.7333333333333334,0.78125
30,0.016306771663948894,0.75,0.7333333333333334,0.75
31,0.07475398775810997,0.75,0.7482517482517483,0.8125
32,0.20388613369626304,0.5833333333333334,0.5804195804195804,0.78125
33,0.13661868389075002,0.5833333333333334,0.5804195804195804,0.78125
34,0.1219071534772714,0.6666666666666666,0.625,0.78125
35,0.026400424540042877,0.75,0.6974789915966386,0.8125
36,0.1137556261382997,0.75,0.7333333333333334,0.8125
37,0.012560650783901414,0.75,0.7333333333333334,0.8125
38,0.01833943836390972,0.75,0.7333333333333334,0.84375
39,0.014069812294716636,0.75,0.7333333333333334,0.84375
40,0.03544323689614733,0.75,0.7333333333333334,0.8125
41,0.016746052152787645,0.75,0.7333333333333334,0.8125
42,0.17617239931132644,0.6666666666666666,0.6571428571428571,0.8125
43,0.09934639371931553,0.5833333333333334,0.5555555555555556,0.6875
44,0.04393476170177261,0.5833333333333334,0.5555555555555556,0.75
45,0.014691859173278013,0.5833333333333334,0.5555555555555556,0.78125
46,0.08332342188805342,0.6666666666666666,0.6571428571428571,0.78125
