epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6269762317339579,0.6666666666666666,0.4,0.8125
2,0.7565414607524872,0.3333333333333333,0.25,0.65625
3,0.6299077173074087,0.5833333333333334,0.5804195804195804,0.8125
4,0.434416467944781,0.8333333333333334,0.8125,0.875
5,0.5108467017610868,0.75,0.6210526315789473,0.8125
6,0.40918542941411334,0.75,0.7482517482517483,0.875
7,0.14357243229945502,0.75,0.7333333333333334,0.875
8,0.061895071839292846,0.75,0.6974789915966386,0.8125
9,0.04718146162728468,0.75,0.6974789915966386,0.8125
10,0.017555415630340576,0.75,0.6974789915966386,0.6875
11,0.011011123734836778,0.75,0.6974789915966386,0.6875
12,0.008958885911852121,0.6666666666666666,0.625,0.6875
13,0.005046070010090868,0.6666666666666666,0.625,0.75
14,0.003909242223016918,0.6666666666666666,0.625,0.75
15,0.002821680041961372,0.6666666666666666,0.625,0.75
16,0.0018807572390263279,0.6666666666666666,0.625,0.75
17,0.0017139711417257786,0.6666666666666666,0.625,0.75
18,0.0014865826427315672,0.6666666666666666,0.625,0.78125
19,0.0011679889090980093,0.6666666666666666,0.625,0.8125
20,0.0009910640364978462,0.6666666666666666,0.625,0.8125
21,0.0009561124995040396,0.6666666666666666,0.625,0.84375
22,0.0009029426049285879,0.6666666666666666,0.625,0.8125
23,0.0006241207496107867,0.6666666666666666,0.625,0.8125
24,0.0004661689551236729,0.6666666666666666,0.625,0.8125
25,0.00040871495245179784,0.6666666666666666,0.625,0.8125
26,0.0006066874436025197,0.6666666666666666,0.625,0.8125
27,0.00034931224217871204,0.6666666666666666,0.625,0.84375
28,0.00037847495210977894,0.6666666666666666,0.625,0.84375
29,0.0004361007619687977,0.6666666666666666,0.625,0.84375
30,0.0003230550792068243,0.6666666666666666,0.625,0.84375
31,0.00036708017190297443,0.6666666666666666,0.625,0.84375
32,0.0005988255240178356,0.6666666666666666,0.625,0.8125
33,0.0003253171210720514,0.6666666666666666,0.625,0.8125
34,0.000360295147402212,0.6666666666666666,0.625,0.8125
