epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7225976685682932,0.6666666666666666,0.4,0.25
2,0.6750107407569885,0.6666666666666666,0.4,0.375
3,0.7562364339828491,0.6666666666666666,0.4,0.65625
4,0.6810400784015656,0.6666666666666666,0.4,0.625
5,0.7037156025568644,0.3333333333333333,0.25,0.65625
6,0.732718825340271,0.3333333333333333,0.25,0.53125
7,0.6966150005658468,0.6666666666666666,0.4,0.53125
8,0.6809959510962168,0.6666666666666666,0.4,0.53125
9,0.7081503669420878,0.6666666666666666,0.4,0.53125
10,0.6863121887048086,0.3333333333333333,0.25,0.6875
11,0.7417620619138082,0.3333333333333333,0.25,0.65625
12,0.7125464081764221,0.3333333333333333,0.25,0.6875
13,0.7197261353333791,0.3333333333333333,0.25,0.6875
14,0.6894770165284475,0.6666666666666666,0.4,0.71875
15,0.6752784748872122,0.6666666666666666,0.4,0.84375
16,0.7187832196553549,0.6666666666666666,0.4,0.53125
17,0.6641435325145721,0.6666666666666666,0.4,0.46875
18,0.7196750740210215,0.6666666666666666,0.4,0.46875
19,0.7122661570707957,0.6666666666666666,0.4,0.5
20,0.6994722882906595,0.3333333333333333,0.25,0.625
21,0.7107688387235006,0.6666666666666666,0.4,0.8125
22,0.698843648036321,0.6666666666666666,0.4,0.78125
23,0.6971208850542704,0.6666666666666666,0.4,0.8125
24,0.6976679464181265,0.6666666666666666,0.4,0.8125
25,0.6830350756645203,0.3333333333333333,0.25,0.8125
26,0.6982603768507639,0.3333333333333333,0.25,0.8125
27,0.6823674738407135,0.3333333333333333,0.25,0.84375
28,0.7324505647023519,0.3333333333333333,0.25,0.875
29,0.7093353172143301,0.6666666666666666,0.4,0.875
30,0.703211655219396,0.6666666666666666,0.4,0.875
31,0.7200389802455902,0.6666666666666666,0.4,0.875
