epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6980109413464864,0.3333333333333333,0.25,0.4375
2,0.7207478781541189,0.3333333333333333,0.25,0.46875
3,0.676741490761439,0.6666666666666666,0.4,0.46875
4,0.7267663180828094,0.3333333333333333,0.25,0.53125
5,0.7246414124965668,0.3333333333333333,0.25,0.375
6,0.6718889574209849,0.3333333333333333,0.25,0.375
7,0.7018867631753286,0.3333333333333333,0.25,0.375
8,0.6938830415407816,0.3333333333333333,0.25,0.4375
9,0.6918599605560303,0.3333333333333333,0.25,0.453125
10,0.7193857034047445,0.3333333333333333,0.25,0.40625
11,0.7163050770759583,0.6666666666666666,0.4,0.40625
12,0.6690109570821127,0.6666666666666666,0.4,0.5
13,0.7509616514046987,0.6666666666666666,0.4,0.65625
14,0.6812808811664581,0.3333333333333333,0.25,0.65625
15,0.688342809677124,0.3333333333333333,0.25,0.65625
16,0.6766406695048014,0.3333333333333333,0.25,0.53125
17,0.7564668456713358,0.3333333333333333,0.25,0.46875
18,0.6956935326258341,0.3333333333333333,0.25,0.4375
19,0.6860606670379639,0.6666666666666666,0.4,0.4375
20,0.7028569877147675,0.6666666666666666,0.4,0.4375
21,0.6925770938396454,0.6666666666666666,0.4,0.4375
22,0.6944325864315033,0.6666666666666666,0.4,0.40625
23,0.7020862301190695,0.6666666666666666,0.4,0.40625
24,0.694658120473226,0.6666666666666666,0.4,0.4375
25,0.6892673571904501,0.6666666666666666,0.4,0.5625
26,0.6961009204387665,0.6666666666666666,0.4,0.59375
27,0.6947672565778097,0.3333333333333333,0.25,0.609375
28,0.6958057681719462,0.3333333333333333,0.25,0.65625
29,0.6921597917874655,0.3333333333333333,0.25,0.6875
30,0.6910459399223328,0.6666666666666666,0.4,0.71875
31,0.6830744544665018,0.6666666666666666,0.4,0.65625
32,0.6890966395537058,0.6666666666666666,0.4,0.65625
33,0.6890824437141418,0.6666666666666666,0.4,0.625
