epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7155805627504984,0.6666666666666666,0.4,0.8125
2,0.679496298233668,0.3333333333333333,0.25,0.3125
3,0.7783849140008291,0.3333333333333333,0.25,0.375
4,0.70879594484965,0.6666666666666666,0.4,0.53125
5,0.6985379060109457,0.6666666666666666,0.4,0.59375
6,0.698390265305837,0.6666666666666666,0.4,0.625
7,0.6720450123151144,0.6666666666666666,0.4,0.34375
8,0.7086748480796814,0.6666666666666666,0.4,0.34375
9,0.766780436038971,0.6666666666666666,0.4,0.625
10,0.7046206593513489,0.3333333333333333,0.25,0.65625
11,0.710007389386495,0.3333333333333333,0.25,0.3125
12,0.7323721051216125,0.3333333333333333,0.25,0.34375
13,0.7036180595556895,0.6666666666666666,0.4,0.375
14,0.7386656105518341,0.6666666666666666,0.4,0.53125
15,0.7071196039517721,0.3333333333333333,0.25,0.625
16,0.6931387384732565,0.3333333333333333,0.25,0.625
17,0.7033780018488566,0.3333333333333333,0.25,0.625
18,0.6924015482266744,0.3333333333333333,0.25,0.625
19,0.6917639772097269,0.3333333333333333,0.25,0.625
20,0.6960647801558176,0.6666666666666666,0.4,0.65625
21,0.6905031800270081,0.6666666666666666,0.4,0.6875
22,0.714579164981842,0.6666666666666666,0.4,0.65625
23,0.7052036921183268,0.6666666666666666,0.4,0.65625
24,0.7023642957210541,0.6666666666666666,0.4,0.625
25,0.687260627746582,0.3333333333333333,0.25,0.59375
26,0.6970556179682413,0.3333333333333333,0.25,0.625
27,0.6924287577470144,0.3333333333333333,0.25,0.5
28,0.6861277123292288,0.6666666666666666,0.4,0.625
29,0.7025046646595001,0.6666666666666666,0.4,0.78125
30,0.7034238676230112,0.6666666666666666,0.4,0.84375
31,0.6888095935185751,0.3333333333333333,0.25,0.8125
