variant,model,seed,returncode,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,summary_path
baseline,sage,41,0,0.505769,0.149546,0.681926,0.147864,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_065933_611115__none\gps_summary_20260311_065933_611115.csv
baseline,gcn,41,0,0.552351,0.070366,0.689037,0.073237,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_070010_955538__none\gps_summary_20260311_070010_955538.csv
baseline,gin,41,0,0.633845,0.128009,0.714074,0.155200,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_070048_775284__none\gps_summary_20260311_070048_775284.csv
baseline,gatedgraph,41,0,0.560125,0.057384,0.649037,0.084892,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_070129_684972__none\gps_summary_20260311_070129_684972.csv
baseline,gine,41,0,0.508176,0.125886,0.633926,0.127376,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_070218_230323__none\gps_summary_20260311_070218_230323.csv
baseline,pna,41,0,0.492358,0.144600,0.628741,0.109018,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_070315_734140__none\gps_summary_20260311_070315_734140.csv
baseline,sage,42,0,0.446746,0.060510,0.587111,0.111664,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_070434_124266__none\gps_summary_20260311_070434_124266.csv
baseline,gcn,42,0,0.542465,0.113233,0.676444,0.121753,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_070521_231582__none\gps_summary_20260311_070521_231582.csv
baseline,gin,42,0,0.543951,0.062479,0.727556,0.036477,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_070609_074953__none\gps_summary_20260311_070609_074953.csv
baseline,gatedgraph,42,0,0.565088,0.132911,0.600741,0.160967,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_070655_857186__none\gps_summary_20260311_070655_857186.csv
baseline,gine,42,0,0.416535,0.066283,0.509333,0.113967,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_070740_401011__none\gps_summary_20260311_070740_401011.csv
baseline,pna,42,0,0.421832,0.056993,0.574519,0.141427,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_070846_737337__none\gps_summary_20260311_070846_737337.csv
baseline,sage,43,0,0.473020,0.095260,0.649630,0.168525,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_071005_385999__none\gps_summary_20260311_071005_385999.csv
baseline,gcn,43,0,0.541103,0.128175,0.658519,0.177614,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_071054_790545__none\gps_summary_20260311_071054_790545.csv
baseline,gin,43,0,0.663462,0.111152,0.697630,0.084215,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_071145_769471__none\gps_summary_20260311_071145_769471.csv
baseline,gatedgraph,43,0,0.595350,0.078995,0.727852,0.126201,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_071232_633260__none\gps_summary_20260311_071232_633260.csv
