epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6253939469655355,0.5833333333333334,0.3684210526315789,0.6875
2,0.34609464307626087,0.5833333333333334,0.3684210526315789,0.6875
3,0.30706648776928586,0.6666666666666666,0.4,0.46875
4,0.15858125686645508,0.6666666666666666,0.4,0.71875
5,0.30941567569971085,0.75,0.6210526315789473,0.75
6,0.035236923644940056,0.6666666666666666,0.4,0.71875
7,0.07887759773681562,0.75,0.6974789915966386,0.9375
8,0.18537435121834278,0.8333333333333334,0.8125,0.90625
9,0.12048221348474424,0.75,0.7333333333333334,0.875
10,0.036502351984381676,0.75,0.7333333333333334,0.78125
11,0.14668991478780904,0.3333333333333333,0.3142857142857143,0.75
12,0.07439345680177212,0.3333333333333333,0.3142857142857143,0.75
13,0.23412255011498928,0.5,0.5,0.65625
14,0.06096707967420419,0.5,0.5,0.78125
15,0.11623987617592017,0.6666666666666666,0.6666666666666666,0.90625
16,0.18333471535394588,0.75,0.7333333333333334,0.875
17,0.17147485461706916,0.75,0.6210526315789473,0.625
18,0.14378095666567484,0.8333333333333334,0.7777777777777777,0.84375
19,0.04832130360106627,0.75,0.6974789915966386,0.90625
20,0.027528414813180763,0.8333333333333334,0.7777777777777777,0.90625
21,0.0663443550777932,0.75,0.7333333333333334,0.90625
22,0.12548928374114135,0.5833333333333334,0.5804195804195804,0.9375
23,0.013388142998640737,0.5833333333333334,0.5804195804195804,0.65625
24,0.22123199639221033,0.6666666666666666,0.625,0.8125
25,0.04049979988485575,0.8333333333333334,0.8125,0.84375
26,0.1998362191952765,0.75,0.7333333333333334,0.8125
27,0.0702444571070373,0.6666666666666666,0.625,0.8125
28,0.07090745167806745,0.8333333333333334,0.7777777777777777,0.8125
29,0.058835408029456936,0.8333333333333334,0.7777777777777777,0.84375
30,0.02330694526123504,0.75,0.6210526315789473,0.84375
31,0.008789170766249299,0.6666666666666666,0.5555555555555556,0.875
32,0.012359512232554456,0.6666666666666666,0.5555555555555556,0.875
33,0.0875222336423273,0.75,0.6210526315789473,0.875
34,0.047236195765435696,0.75,0.6210526315789473,0.75
35,0.21852408291306347,0.75,0.6210526315789473,0.6875
36,0.04056991900627812,0.75,0.6210526315789473,0.71875
37,0.03902792565835019,0.75,0.6210526315789473,0.71875
38,0.025826600613072515,0.75,0.6210526315789473,0.71875
39,0.00969515717588365,0.75,0.6210526315789473,0.75
40,0.05708919636284312,0.75,0.6210526315789473,0.625
41,0.0071080919199933605,0.75,0.6974789915966386,0.71875
42,0.01369429042097181,0.5833333333333334,0.5555555555555556,0.71875
43,0.04075898501711587,0.5833333333333334,0.5804195804195804,0.78125
