variant,model,global_attn,seed,returncode,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,summary_path
gps,sage,performer,41,0,0.558783,0.135178,0.634519,0.119413,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_080752_934938__performer\gps_summary_20260311_080752_934938.csv
gps,gcn,multihead,41,0,0.568362,0.040597,0.645333,0.051709,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_081111_669660__multihead\gps_summary_20260311_081111_669660.csv
gps,gin,performer,41,0,0.598220,0.068527,0.632593,0.139333,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_081310_379453__performer\gps_summary_20260311_081310_379453.csv
gps,gatedgraph,performer,41,0,0.564206,0.108171,0.644296,0.136115,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_081442_339852__performer\gps_summary_20260311_081442_339852.csv
gps,gine,multihead,41,0,0.619589,0.112657,0.720741,0.064285,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_081607_157790__multihead\gps_summary_20260311_081607_157790.csv
gps,pna,performer,41,0,0.574199,0.128959,0.692296,0.111583,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_081727_203281__performer\gps_summary_20260311_081727_203281.csv
gps,sage,performer,42,0,0.540039,0.123742,0.612741,0.125493,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_081901_381746__performer\gps_summary_20260311_081901_381746.csv
gps,gcn,multihead,42,0,0.556332,0.085456,0.593630,0.137779,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_082030_603061__multihead\gps_summary_20260311_082030_603061.csv
gps,gin,performer,42,0,0.374765,0.078973,0.534370,0.161519,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_082158_972441__performer\gps_summary_20260311_082158_972441.csv
gps,gatedgraph,performer,42,0,0.455635,0.100179,0.617333,0.092241,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_082318_153277__performer\gps_summary_20260311_082318_153277.csv
gps,gine,multihead,42,0,0.558093,0.134744,0.634815,0.123460,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_082434_655566__multihead\gps_summary_20260311_082434_655566.csv
gps,pna,performer,42,0,0.531310,0.080392,0.653926,0.056459,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_082610_355679__performer\gps_summary_20260311_082610_355679.csv
gps,sage,performer,43,0,0.572949,0.118456,0.653333,0.117832,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_082750_489964__performer\gps_summary_20260311_082750_489964.csv
gps,gcn,multihead,43,0,0.597325,0.087315,0.592741,0.133035,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_082929_433052__multihead\gps_summary_20260311_082929_433052.csv
gps,gin,performer,43,0,0.683944,0.105574,0.648741,0.130902,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_083054_379952__performer\gps_summary_20260311_083054_379952.csv
gps,gatedgraph,performer,43,0,0.558405,0.068063,0.557630,0.186409,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_083228_839258__performer\gps_summary_20260311_083228_839258.csv
gps,gine,multihead,43,0,0.595753,0.171326,0.673037,0.201089,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_083353_196208__multihead\gps_summary_20260311_083353_196208.csv
gps,pna,performer,43,0,0.616832,0.118674,0.669037,0.120520,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_083511_934298__performer\gps_summary_20260311_083511_934298.csv
gps,sage,performer,44,0,0.587753,0.159782,0.573481,0.141687,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_083709_361732__performer\gps_summary_20260311_083709_361732.csv
gps,gcn,multihead,44,0,0.567328,0.131135,0.668000,0.167141,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_083818_013887__multihead\gps_summary_20260311_083818_013887.csv
gps,gin,performer,44,0,0.603531,0.102371,0.709926,0.124306,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_083943_821074__performer\gps_summary_20260311_083943_821074.csv
gps,gatedgraph,performer,44,0,0.606804,0.112313,0.702222,0.141051,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_084112_154200__performer\gps_summary_20260311_084112_154200.csv
gps,gine,multihead,44,0,0.485231,0.044806,0.625778,0.137438,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_084243_465510__multihead\gps_summary_20260311_084243_465510.csv
gps,pna,performer,44,0,0.586397,0.134545,0.664889,0.167776,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_084346_992754__performer\gps_summary_20260311_084346_992754.csv
gps,sage,performer,45,0,0.651666,0.078361,0.693630,0.082566,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_084547_011319__performer\gps_summary_20260311_084547_011319.csv
gps,gcn,multihead,45,0,0.594570,0.131450,0.674222,0.125681,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_084707_170425__multihead\gps_summary_20260311_084707_170425.csv
gps,gin,performer,45,0,0.557468,0.094381,0.564000,0.134104,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_084822_473103__performer\gps_summary_20260311_084822_473103.csv
gps,gatedgraph,performer,45,0,0.537998,0.028346,0.680000,0.138564,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_084930_009750__performer\gps_summary_20260311_084930_009750.csv
gps,gine,multihead,45,0,0.590625,0.065380,0.664000,0.120266,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_085054_041486__multihead\gps_summary_20260311_085054_041486.csv
gps,pna,performer,45,0,0.553882,0.142094,0.683111,0.127623,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_085203_309428__performer\gps_summary_20260311_085203_309428.csv
gps,sage,performer,46,0,0.666235,0.084799,0.708741,0.166152,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_085346_443933__performer\gps_summary_20260311_085346_443933.csv
gps,gcn,multihead,46,0,0.612807,0.148781,0.677926,0.161069,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_085514_583480__multihead\gps_summary_20260311_085514_583480.csv
gps,gin,performer,46,0,0.674739,0.130249,0.717333,0.131764,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_085626_906983__performer\gps_summary_20260311_085626_906983.csv
gps,gatedgraph,performer,46,0,0.646652,0.128790,0.707704,0.163609,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_085755_722803__performer\gps_summary_20260311_085755_722803.csv
gps,gine,multihead,46,0,0.612538,0.162689,0.743704,0.163576,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_085906_307003__multihead\gps_summary_20260311_085906_307003.csv
gps,pna,performer,46,0,0.661369,0.102234,0.672296,0.180617,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_090027_926048__performer\gps_summary_20260311_090027_926048.csv
gps,sage,performer,47,0,0.573777,0.027157,0.666222,0.104112,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_090203_887592__performer\gps_summary_20260311_090203_887592.csv
gps,gcn,multihead,47,0,0.635516,0.101519,0.676741,0.121086,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_090306_673696__multihead\gps_summary_20260311_090306_673696.csv
gps,gin,performer,47,0,0.601388,0.065805,0.676148,0.098402,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_090415_267914__performer\gps_summary_20260311_090415_267914.csv
gps,gatedgraph,performer,47,0,0.615878,0.093215,0.717333,0.080509,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_090548_035886__performer\gps_summary_20260311_090548_035886.csv
gps,gine,multihead,47,0,0.509571,0.090594,0.648741,0.079090,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_090715_420094__multihead\gps_summary_20260311_090715_420094.csv
gps,pna,performer,47,0,0.548643,0.097147,0.714370,0.104715,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_090832_578123__performer\gps_summary_20260311_090832_578123.csv
gps,sage,performer,48,0,0.609213,0.138785,0.648444,0.139143,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_091026_158220__performer\gps_summary_20260311_091026_158220.csv
gps,gcn,multihead,48,0,0.674676,0.134413,0.755556,0.206793,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_091139_248214__multihead\gps_summary_20260311_091139_248214.csv
gps,gin,performer,48,0,0.576644,0.121505,0.677037,0.101571,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_091244_061843__performer\gps_summary_20260311_091244_061843.csv
gps,gatedgraph,performer,48,0,0.470130,0.101038,0.572741,0.084663,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_091359_120226__performer\gps_summary_20260311_091359_120226.csv
gps,gine,multihead,48,0,0.537472,0.153411,0.683852,0.215874,gps_artifacts/final_sel\gps_runs\graph_level\gine\20260311_091531_026467__multihead\gps_summary_20260311_091531_026467.csv
gps,pna,performer,48,0,0.670721,0.087121,0.763852,0.194487,gps_artifacts/final_sel\gps_runs\graph_level\pna\20260311_091644_128049__performer\gps_summary_20260311_091644_128049.csv
gps,sage,performer,49,0,0.642208,0.097110,0.728889,0.171776,gps_artifacts/final_sel\gps_runs\graph_level\sage\20260311_091822_179751__performer\gps_summary_20260311_091822_179751.csv
gps,gcn,multihead,49,0,0.584929,0.139047,0.654667,0.170979,gps_artifacts/final_sel\gps_runs\graph_level\gcn\20260311_091941_429243__multihead\gps_summary_20260311_091941_429243.csv
gps,gin,performer,49,0,0.646349,0.072163,0.683704,0.135652,gps_artifacts/final_sel\gps_runs\graph_level\gin\20260311_092105_333448__performer\gps_summary_20260311_092105_333448.csv
gps,gatedgraph,performer,49,0,0.621620,0.168504,0.682667,0.201267,gps_artifacts/final_sel\gps_runs\graph_level\gatedgraph\20260311_092209_747890__performer\gps_summary_20260311_092209_747890.csv
