variant,model,global_attn,n_seeds,f1_mean,f1_std,f1_ci95,auc_mean,auc_std,auc_ci95,stability_score
gps,sage,performer,10,0.5983653,0.040149144227617097,0.02488469740571087,0.6529332999999999,0.045722044807838584,0.028338816971116936,0.5782907278861914
gps,gcn,multihead,10,0.5971118,0.03403996832489712,0.021098190951785632,0.6536742,0.04756485336422264,0.029481001547761742,0.5800918158375514
baseline,gatedgraph,none,10,0.5931436999999999,0.06033420676374223,0.03739552878182054,0.6830074,0.07591880479459619,0.04705496271617257,0.5629765966181288
gps,pna,performer,10,0.5918017,0.04363735728260822,0.02704671425638127,0.6852294999999999,0.03553895318449883,0.022027271393337662,0.5699830213586958
gps,gin,performer,10,0.5894286999999999,0.0820269006071179,0.05084079972325724,0.6495999999999998,0.056346636801143685,0.034924007313248115,0.548415249696441
baseline,gin,none,10,0.5779988,0.05108167811417318,0.031660752110694926,0.6691407999999999,0.05673120710825744,0.0351623664590743,0.5524579609429134
baseline,gcn,none,10,0.5774792000000001,0.04696900361685353,0.029111690048156967,0.6839556,0.05114040243525662,0.03169714982199438,0.5539946981915733
gps,gine,multihead,10,0.5727539,0.04518570502592606,0.028006390130239027,0.6699704999999999,0.03606658376184249,0.02235430021329856,0.550161047487037
gps,gatedgraph,performer,10,0.5720661,0.06448258105170729,0.039966717803842915,0.6584741000000001,0.05498173667764598,0.034078033452144135,0.5398248094741463
baseline,sage,none,10,0.5561228,0.06754510670922062,0.0418648908720505,0.6781038,0.0562093616665409,0.03483892330332372,0.5223502466453898
baseline,gine,none,10,0.5471307000000001,0.06668762770866873,0.04133341988129879,0.6397629,0.0600878079005217,0.037242809184172526,0.5137868861456657
baseline,pna,none,10,0.4616337,0.05526563645530556,0.03425399635736959,0.5601038,0.0750311062837274,0.04650476147887509,0.4340008817723472
