epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7001934051513672,0.4,0.2857142857142857,0.33333333333333337
2,0.5879480838775635,0.4,0.2857142857142857,0.375
3,0.46913948059082033,0.4,0.2857142857142857,0.375
4,0.38133272528648376,0.6,0.375,0.45833333333333337
5,0.2893605291843414,0.6,0.375,0.4166666666666667
6,0.35076836943626405,0.6,0.375,0.3333333333333333
7,0.18563152253627777,0.6,0.375,0.375
8,0.21371392011642457,0.6,0.375,0.33333333333333337
9,0.15033015608787537,0.6,0.375,0.625
10,0.11915267705917358,0.6,0.375,0.375
11,0.20463350415229797,0.6,0.375,0.375
12,0.09106722623109817,0.6,0.375,0.45833333333333337
13,0.13192778825759888,0.6,0.375,0.3333333333333333
14,0.06018375158309937,0.6,0.375,0.29166666666666663
15,0.05806116759777069,0.6,0.375,0.29166666666666663
16,0.05936532020568848,0.6,0.375,0.33333333333333337
