epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.732724666595459,0.6666666666666666,0.6571428571428571,0.5
2,0.6417249937852224,0.5833333333333334,0.5804195804195804,0.65625
3,0.5849077800909678,0.8333333333333334,0.8285714285714285,0.8125
4,0.3847597340742747,0.75,0.6974789915966386,0.90625
5,0.2383214794099331,0.6666666666666666,0.5555555555555556,0.8125
6,0.07658390576640765,0.75,0.6210526315789473,0.8125
7,0.029431940366824467,0.6666666666666666,0.625,0.8125
8,0.01423494021097819,0.75,0.6210526315789473,0.6875
9,0.5854985513724387,0.4166666666666667,0.37777777777777777,0.84375
10,0.23711573891341686,0.6666666666666666,0.5555555555555556,0.78125
11,0.14444345235824585,0.75,0.7333333333333334,0.875
12,0.03939846313248078,0.75,0.6210526315789473,0.8125
13,0.02629411080852151,0.8333333333333334,0.7777777777777777,0.78125
14,0.01307690873121222,0.8333333333333334,0.7777777777777777,0.78125
15,0.00983076891861856,0.8333333333333334,0.7777777777777777,0.8125
16,0.007397864945232868,0.8333333333333334,0.7777777777777777,0.8125
17,0.006260847284769018,0.8333333333333334,0.7777777777777777,0.8125
18,0.0046453836451595025,0.8333333333333334,0.7777777777777777,0.8125
19,0.003813910181634128,0.8333333333333334,0.7777777777777777,0.8125
20,0.002956452042174836,0.8333333333333334,0.7777777777777777,0.8125
21,0.0025777984604549906,0.8333333333333334,0.7777777777777777,0.8125
22,0.0028605614012728133,0.8333333333333334,0.7777777777777777,0.84375
23,0.002664713557654371,0.8333333333333334,0.7777777777777777,0.84375
24,0.0020936420769430697,0.8333333333333334,0.7777777777777777,0.84375
25,0.0021200517852169773,0.8333333333333334,0.7777777777777777,0.84375
26,0.0013971833977848291,0.8333333333333334,0.7777777777777777,0.875
27,0.0016929007445772488,0.8333333333333334,0.7777777777777777,0.875
28,0.0015112058414767187,0.8333333333333334,0.7777777777777777,0.875
29,0.0014639778916413586,0.8333333333333334,0.7777777777777777,0.875
30,0.001916495501063764,0.8333333333333334,0.7777777777777777,0.875
31,0.0012138928189718474,0.8333333333333334,0.7777777777777777,0.875
32,0.001234575950851043,0.8333333333333334,0.7777777777777777,0.875
33,0.0014657686891344686,0.8333333333333334,0.7777777777777777,0.875
