epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6889986197153727,0.75,0.6210526315789473,0.65625
2,0.661627858877182,0.6666666666666666,0.5555555555555556,0.59375
3,0.5034715334574381,0.6666666666666666,0.5555555555555556,0.625
4,0.3189166486263275,0.75,0.6210526315789473,0.53125
5,0.17344126105308533,0.4166666666666667,0.4125874125874126,0.625
6,0.07986140623688698,0.6666666666666666,0.5555555555555556,0.6875
7,0.04307703782493869,0.75,0.6210526315789473,0.625
8,0.050944774566839136,0.6666666666666666,0.625,0.6875
9,0.09126438371216257,0.6666666666666666,0.625,0.75
10,0.02994897961616516,0.75,0.6210526315789473,0.78125
11,0.005822601029649377,0.6666666666666666,0.625,0.78125
12,0.004583849765670796,0.75,0.7333333333333334,0.75
13,0.0046603980008512735,0.6666666666666666,0.6571428571428571,0.75
14,0.004351719107944518,0.6666666666666666,0.625,0.75
15,0.0024787364527583122,0.6666666666666666,0.625,0.75
16,0.001582252812416603,0.6666666666666666,0.625,0.78125
17,0.0015149828395806253,0.6666666666666666,0.625,0.78125
18,0.0012740065479495872,0.6666666666666666,0.625,0.78125
19,0.0009807854900524642,0.6666666666666666,0.625,0.78125
20,0.0009925900521920994,0.6666666666666666,0.625,0.78125
21,0.0013661820557899773,0.6666666666666666,0.625,0.78125
22,0.0006861448394677913,0.6666666666666666,0.625,0.78125
23,0.0007711283930499727,0.6666666666666666,0.625,0.78125
24,0.0005682204015708218,0.6666666666666666,0.625,0.78125
25,0.0005702259028718496,0.6666666666666666,0.625,0.78125
26,0.0004453884224252154,0.6666666666666666,0.625,0.78125
27,0.0006106323514056081,0.6666666666666666,0.625,0.78125
28,0.00036312620795797557,0.6666666666666666,0.625,0.78125
29,0.0003456019573301698,0.6666666666666666,0.625,0.78125
30,0.0006233234598767012,0.6666666666666666,0.625,0.78125
31,0.000449554708514673,0.6666666666666666,0.625,0.78125
32,0.00043659849325194955,0.6666666666666666,0.625,0.78125
33,0.0002951436278332646,0.6666666666666666,0.625,0.78125
34,0.0002762555086519569,0.6666666666666666,0.625,0.78125
35,0.0002891632563356931,0.6666666666666666,0.625,0.78125
36,0.0003151109049213119,0.6666666666666666,0.625,0.78125
37,0.0002889584575314075,0.6666666666666666,0.625,0.78125
38,0.0002840057180340712,0.6666666666666666,0.625,0.78125
39,0.0002985448227263987,0.6666666666666666,0.625,0.78125
40,0.0002826795243890956,0.6666666666666666,0.625,0.78125
41,0.00022952485475495146,0.6666666666666666,0.625,0.78125
42,0.0002506397516602495,0.6666666666666666,0.625,0.78125
