epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6798603435357412,0.6666666666666666,0.4,0.6875
2,0.7508638699849447,0.3333333333333333,0.25,0.5
3,0.7362724045912424,0.3333333333333333,0.25,0.46875
4,0.7027471760908762,0.6666666666666666,0.4,0.5
5,0.6831464270750681,0.6666666666666666,0.4,0.53125
6,0.7272609074910482,0.6666666666666666,0.4,0.53125
7,0.7023873726526896,0.3333333333333333,0.25,0.53125
8,0.6786046922206879,0.6666666666666666,0.4,0.5625
9,0.7187272707621256,0.6666666666666666,0.4,0.53125
10,0.7341672579447428,0.6666666666666666,0.4,0.625
11,0.6961847643057505,0.3333333333333333,0.25,0.75
12,0.7312746544679006,0.3333333333333333,0.25,0.375
13,0.7384831110636393,0.3333333333333333,0.25,0.4375
14,0.7276431918144226,0.6666666666666666,0.4,0.46875
15,0.7307771841684977,0.3333333333333333,0.25,0.46875
16,0.6708626051743826,0.3333333333333333,0.25,0.5
17,0.7223608791828156,0.6666666666666666,0.4,0.46875
18,0.7291278143723806,0.6666666666666666,0.4,0.46875
19,0.6931718190511068,0.3333333333333333,0.25,0.4375
20,0.7196737825870514,0.3333333333333333,0.25,0.46875
21,0.6993526816368103,0.3333333333333333,0.25,0.4375
22,0.674067368110021,0.3333333333333333,0.25,0.4375
23,0.6804207464059194,0.3333333333333333,0.25,0.5
24,0.6776357193787893,0.3333333333333333,0.25,0.5
25,0.7652588685353597,0.3333333333333333,0.25,0.46875
26,0.6719184021155039,0.6666666666666666,0.4,0.53125
27,0.7111976246039072,0.6666666666666666,0.4,0.53125
28,0.7037496169408163,0.6666666666666666,0.4,0.53125
29,0.6880121926466624,0.6666666666666666,0.4,0.5625
30,0.6958484649658203,0.3333333333333333,0.25,0.5625
31,0.6953357855478922,0.3333333333333333,0.25,0.5625
