epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6785040398438772,0.3333333333333333,0.25,0.71875
2,0.5952338774998983,0.3333333333333333,0.25,0.5625
3,0.5863472272952398,0.3333333333333333,0.25,0.625
4,0.5877662797768911,0.3333333333333333,0.25,0.5
5,0.4714154650767644,0.4166666666666667,0.4125874125874126,0.75
6,0.3275263582666715,0.4166666666666667,0.37777777777777777,0.625
7,0.20708906029661497,0.8333333333333334,0.7777777777777777,0.75
8,0.08189973048865795,0.75,0.6974789915966386,0.6875
9,0.03509085330491265,0.75,0.6974789915966386,0.6875
10,0.01018640554199616,0.6666666666666666,0.6666666666666666,0.84375
11,0.05176568706519902,0.6666666666666666,0.5555555555555556,0.40625
12,0.05565379303880036,0.5,0.5,0.65625
13,0.021324778635365266,0.5833333333333334,0.4957983193277311,0.625
14,0.0725286053493619,0.75,0.6210526315789473,0.46875
15,0.003532201012906929,0.6666666666666666,0.6571428571428571,0.71875
16,0.13848728471202776,0.75,0.7333333333333334,0.71875
17,0.06581655618113776,0.75,0.6210526315789473,0.65625
18,0.008491071678387621,0.5833333333333334,0.5555555555555556,0.65625
19,0.00409082614351064,0.5833333333333334,0.5804195804195804,0.71875
20,0.015463530900888145,0.5833333333333334,0.4957983193277311,0.6875
21,0.01681948594826584,0.5833333333333334,0.4957983193277311,0.625
22,0.002283774723764509,0.5833333333333334,0.5555555555555556,0.6875
23,0.0019048264948651195,0.4166666666666667,0.4125874125874126,0.6875
24,0.001438603949888299,0.5,0.5,0.84375
25,0.0016652137273922563,0.5,0.5,0.84375
26,0.0014170803187880665,0.5,0.5,0.84375
27,0.0014504230736444395,0.5,0.5,0.84375
28,0.0012394667234426986,0.5833333333333334,0.5804195804195804,0.84375
29,0.0010526260011829436,0.5833333333333334,0.5804195804195804,0.84375
30,0.0009661755369355282,0.75,0.7333333333333334,0.8125
31,0.0009435183019377291,0.75,0.7333333333333334,0.78125
32,0.0008315964854167154,0.6666666666666666,0.625,0.71875
33,0.00070077366156814,0.75,0.6974789915966386,0.71875
34,0.0009180024499073625,0.6666666666666666,0.625,0.71875
35,0.0006428898680799952,0.6666666666666666,0.625,0.71875
36,0.0005726770711286614,0.6666666666666666,0.625,0.71875
37,0.0004947854419394085,0.6666666666666666,0.625,0.71875
