epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6872355937957764,0.6666666666666666,0.4,0.6875
2,0.6996646225452423,0.6666666666666666,0.4,0.59375
3,0.6766558786233267,0.6666666666666666,0.4,0.625
4,0.6424801001946131,0.6666666666666666,0.4,0.6875
5,0.6655960083007812,0.6666666666666666,0.4,0.71875
6,0.6867322574059168,0.6666666666666666,0.4,0.71875
7,0.634141206741333,0.6666666666666666,0.4,0.71875
8,0.5458321968714396,0.75,0.6210526315789473,0.875
9,0.45060961941878,0.75,0.6974789915966386,0.90625
10,0.251214678088824,0.75,0.6210526315789473,0.78125
11,0.12122812122106552,0.75,0.7333333333333334,0.875
12,0.08628377628823121,0.75,0.6210526315789473,0.78125
13,0.07163867680355906,0.6666666666666666,0.6571428571428571,0.8125
14,0.04106830572709441,0.75,0.6210526315789473,0.875
15,0.039596704145272575,0.75,0.7482517482517483,0.84375
16,0.1121256141923368,0.75,0.6210526315789473,0.71875
17,0.35946259057770175,0.75,0.7333333333333334,0.65625
18,0.2635405007749796,0.6666666666666666,0.6571428571428571,0.78125
19,0.05279808584600687,0.75,0.6210526315789473,0.625
20,0.05346674285829067,0.75,0.6210526315789473,0.78125
21,0.020217223869015772,0.75,0.6210526315789473,0.8125
22,0.012712258690347275,0.75,0.6210526315789473,0.875
23,0.009872145717963576,0.75,0.6210526315789473,0.875
24,0.008357830423240861,0.75,0.6210526315789473,0.8125
25,0.006515195515627663,0.75,0.6210526315789473,0.78125
26,0.006328255947058399,0.75,0.6210526315789473,0.8125
27,0.004479260261481007,0.75,0.6210526315789473,0.8125
28,0.004310960687386493,0.75,0.6210526315789473,0.8125
29,0.004160499045004447,0.75,0.6210526315789473,0.8125
30,0.005070491247655203,0.75,0.6210526315789473,0.8125
31,0.002954613844243189,0.75,0.6210526315789473,0.8125
32,0.003717202867846936,0.75,0.6210526315789473,0.8125
33,0.003477501256080965,0.75,0.6210526315789473,0.8125
34,0.0022732577053830028,0.75,0.6210526315789473,0.8125
35,0.003487273099987457,0.75,0.6210526315789473,0.8125
36,0.0027519185678102076,0.75,0.6210526315789473,0.8125
37,0.0019353350216988474,0.75,0.6210526315789473,0.8125
38,0.0018560590300088127,0.75,0.6210526315789473,0.8125
39,0.002213742370562007,0.75,0.6210526315789473,0.8125
40,0.0017791078134905547,0.75,0.6210526315789473,0.8125
41,0.0017767619913987194,0.75,0.6210526315789473,0.8125
42,0.0011654849076876417,0.75,0.6210526315789473,0.8125
43,0.0011838660090385626,0.75,0.6210526315789473,0.8125
44,0.0022006793781959764,0.75,0.6210526315789473,0.8125
45,0.0016814882886440803,0.75,0.6210526315789473,0.8125
