epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7018374800682068,0.6666666666666666,0.4,0.46875
2,0.6575925052165985,0.6666666666666666,0.4,0.6875
3,0.6713452140490214,0.6666666666666666,0.4,0.8125
4,0.6434606711069742,0.6666666666666666,0.4,0.78125
5,0.6175384024779002,0.6666666666666666,0.4,0.84375
6,0.641744390130043,0.6666666666666666,0.4,0.84375
7,0.6008503784735998,0.6666666666666666,0.4,0.8125
8,0.46603870888551074,0.75,0.6210526315789473,0.875
9,0.3045108864704768,0.75,0.6974789915966386,0.84375
10,0.13685290267070135,0.8333333333333334,0.8125,0.84375
11,0.05716422821084658,0.8333333333333334,0.7777777777777777,0.8125
12,0.029397139170517523,0.75,0.6974789915966386,0.84375
13,0.016871575266122818,0.75,0.7482517482517483,0.8125
14,0.011182041373103857,0.75,0.7482517482517483,0.8125
15,0.005722834728658199,0.75,0.7333333333333334,0.84375
16,0.003503452598427733,0.75,0.6974789915966386,0.875
17,0.0035353335551917553,0.75,0.6974789915966386,0.875
18,0.002295472387534877,0.75,0.6974789915966386,0.875
19,0.00191430237221842,0.75,0.6974789915966386,0.875
20,0.0010934541351161897,0.75,0.6974789915966386,0.875
21,0.0011072756897192448,0.75,0.6974789915966386,0.875
22,0.0008542174376392117,0.75,0.6974789915966386,0.875
23,0.0008138767589116469,0.75,0.6974789915966386,0.875
24,0.0005032393091823906,0.75,0.6974789915966386,0.875
25,0.0006804380245739594,0.75,0.6974789915966386,0.875
26,0.0003883580066030845,0.75,0.6974789915966386,0.875
27,0.0006542146074934863,0.75,0.6974789915966386,0.875
28,0.0005413334195812544,0.75,0.6974789915966386,0.875
29,0.0007761582843765306,0.75,0.6974789915966386,0.875
30,0.0003529696962990177,0.75,0.6974789915966386,0.875
31,0.0002847111876083848,0.75,0.6974789915966386,0.875
32,0.00022173961042426527,0.75,0.6974789915966386,0.875
33,0.0004465914680622518,0.75,0.6974789915966386,0.875
34,0.00026931324585651356,0.75,0.6974789915966386,0.875
35,0.00021476453791062036,0.75,0.6974789915966386,0.875
36,0.00020216266057104804,0.75,0.6974789915966386,0.875
37,0.00014895165077177808,0.75,0.6974789915966386,0.875
38,0.0001226316720324879,0.75,0.6974789915966386,0.875
39,0.0002561204540446245,0.75,0.6974789915966386,0.875
40,0.00012490404575752714,0.75,0.6974789915966386,0.875
41,0.00022377596299823685,0.75,0.6974789915966386,0.875
42,0.00015460176291526295,0.75,0.6974789915966386,0.875
43,0.00015871599922926785,0.75,0.6974789915966386,0.875
44,0.00016128608573732586,0.75,0.6974789915966386,0.875
45,0.00022641339819529094,0.75,0.6974789915966386,0.875
