epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6408830732107162,0.6666666666666666,0.4,0.625
2,0.6927812546491623,0.6666666666666666,0.4,0.65625
3,0.6360565026601156,0.6666666666666666,0.4,0.59375
4,0.6266402949889501,0.6666666666666666,0.4,0.625
5,0.5809968809286753,0.6666666666666666,0.4,0.625
6,0.5476423849662145,0.75,0.6210526315789473,0.65625
7,0.4170658265550931,0.6666666666666666,0.5555555555555556,0.75
8,0.21349980930487314,0.75,0.6210526315789473,0.875
9,0.0981414895504713,0.6666666666666666,0.5555555555555556,0.78125
10,0.046297947565714516,0.6666666666666666,0.5555555555555556,0.90625
11,0.01920253410935402,0.6666666666666666,0.4,0.71875
12,0.01598982186987996,0.6666666666666666,0.4,0.84375
13,0.005040128210869928,0.75,0.6210526315789473,0.875
14,0.0037485313368961215,0.75,0.6210526315789473,0.84375
15,0.0020582343180043003,0.75,0.6210526315789473,0.8125
16,0.0018207984006342788,0.75,0.6210526315789473,0.8125
17,0.001336407382041216,0.75,0.6210526315789473,0.8125
18,0.000984359357971698,0.75,0.6210526315789473,0.8125
19,0.0008148719886473069,0.75,0.6210526315789473,0.8125
20,0.0006760907320616146,0.75,0.6210526315789473,0.8125
21,0.0007696633498805264,0.75,0.6210526315789473,0.8125
22,0.000974265169740344,0.75,0.6210526315789473,0.8125
23,0.0005413281469373032,0.75,0.6210526315789473,0.8125
24,0.00041798029754621285,0.75,0.6210526315789473,0.8125
25,0.000395024874402831,0.75,0.6210526315789473,0.8125
26,0.0003854684521987413,0.75,0.6210526315789473,0.8125
27,0.0003602510672256661,0.75,0.6210526315789473,0.8125
28,0.00029722107380318147,0.75,0.6210526315789473,0.8125
29,0.00029828921348477405,0.75,0.6210526315789473,0.8125
30,0.00031771934057663503,0.75,0.6210526315789473,0.8125
31,0.0002921040528841938,0.75,0.6210526315789473,0.8125
32,0.0002641307219164446,0.75,0.6210526315789473,0.8125
33,0.0003207380686944816,0.75,0.6210526315789473,0.8125
34,0.00019539657417529574,0.75,0.6210526315789473,0.8125
35,0.000224564921760854,0.75,0.6210526315789473,0.8125
36,0.00022579529225671044,0.75,0.6210526315789473,0.8125
37,0.0001840950887223395,0.75,0.6210526315789473,0.8125
38,0.00020567336954021206,0.75,0.6210526315789473,0.8125
39,0.0001790799299972908,0.75,0.6210526315789473,0.8125
40,0.00016113073555364585,0.75,0.6210526315789473,0.8125
41,0.00012949395750183612,0.75,0.6210526315789473,0.8125
