local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
gcn,none,0,raw,0,raw,gps_artifacts\gcn\20260206_221351_428525__none__gcn_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.3894335511982571,0.12387011833572865
gcn,multihead,0,raw,0,raw,gps_artifacts\gcn\20260206_221355_043920__multihead__gcn_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.49931917211328974,0.1215831277321472
gcn,performer,0,raw,0,raw,gps_artifacts\gcn\20260206_221401_341626__performer__gcn_performer_lap0_rwse0,0.5333333333333333,0.15084944665313013,0.34097068243409706,0.06968285599276151,0.571350762527233,0.09897504815507502
gcn,bigbird,0,raw,0,raw,gps_artifacts\gcn\20260206_221408_572641__bigbird__gcn_bigbird_lap0_rwse0,0.6266666666666668,0.049888765156985884,0.45166860240030976,0.07683081793693826,0.7652505446623094,0.04458211555345088
gin,none,0,raw,0,raw,gps_artifacts\gin\20260206_221417_657981__none__gin_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.619281045751634,0.1482837510567477
gin,multihead,0,raw,0,raw,gps_artifacts\gin\20260206_221421_112237__multihead__gin_multihead_lap0_rwse0,0.56,0.14236104336041752,0.3532372298512902,0.0628810661236319,0.6240468409586056,0.14244468416996653
gin,performer,0,raw,0,raw,gps_artifacts\gin\20260206_221427_527704__performer__gin_performer_lap0_rwse0,0.5333333333333333,0.15084944665313013,0.34097068243409706,0.06968285599276151,0.4671840958605665,0.008117570022216157
gin,bigbird,0,raw,0,raw,gps_artifacts\gin\20260206_221433_708148__bigbird__gin_bigbird_lap0_rwse0,0.39999999999999997,0.0565685424949238,0.3500871459694989,0.09336375521565389,0.648011982570806,0.0697978427263731
pna,none,0,raw,0,raw,gps_artifacts\pna\20260206_221442_462698__none__pna_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5191993464052288,0.05527953506261742
pna,multihead,0,raw,0,raw,gps_artifacts\pna\20260206_221447_751080__multihead__pna_multihead_lap0_rwse0,0.6266666666666666,0.11469767022723504,0.4938607206269106,0.09779475356678677,0.5757080610021786,0.010517413680461619
pna,performer,0,raw,0,raw,gps_artifacts\pna\20260206_221458_499511__performer__pna_performer_lap0_rwse0,0.6666666666666666,0.018856180831641284,0.43166860240030974,0.04867975637645836,0.5778867102396513,0.05674070420544043
pna,bigbird,0,raw,0,raw,gps_artifacts\pna\20260206_221507_200480__bigbird__pna_bigbird_lap0_rwse0,0.6666666666666666,0.018856180831641284,0.5149206349206349,0.0966133509498487,0.6279956427015251,0.16307338714511357
gatedgraph,none,0,raw,0,raw,gps_artifacts\gatedgraph\20260206_221519_579916__none__gatedgraph_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5360838779956426,0.03308963614488918
gatedgraph,multihead,0,raw,0,raw,gps_artifacts\gatedgraph\20260206_221522_299644__multihead__gatedgraph_multihead_lap0_rwse0,0.5599999999999999,0.0565685424949238,0.5567217940406346,0.05665874218120621,0.6979847494553377,0.017678466630846917
gatedgraph,performer,0,raw,0,raw,gps_artifacts\gatedgraph\20260206_221530_392062__performer__gatedgraph_performer_lap0_rwse0,0.6133333333333334,0.0679869268479038,0.43807885881056613,0.05768834383419401,0.613970588235294,0.028736421638801152
gatedgraph,bigbird,0,raw,0,raw,gps_artifacts\gatedgraph\20260206_221537_852028__bigbird__gatedgraph_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5317265795206971,0.054740933082545254
gine,none,0,raw,0,raw,gps_artifacts\gine\20260206_221543_953907__none__gine_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.48284313725490197,0.20190843750889503
gine,multihead,0,raw,0,raw,gps_artifacts\gine\20260206_221546_880721__multihead__gine_multihead_lap0_rwse0,0.48,0.1986621923433512,0.4155711527035056,0.22929171778449983,0.5761165577342048,0.09991863095384966
gine,performer,0,raw,0,raw,gps_artifacts\gine\20260206_221554_887359__performer__gine_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5699891067538126,0.08440794200225163
gine,bigbird,0,raw,0,raw,gps_artifacts\gine\20260206_221600_814006__bigbird__gine_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.6089324618736384,0.08664903762698979
