epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8756163001060486,0.6,0.375,0.5416666666666667
2,0.7618263006210327,0.4,0.2857142857142857,0.625
3,0.7498521566390991,0.6,0.375,0.6666666666666666
4,0.6888865947723388,0.6,0.375,0.75
5,0.7024251699447632,0.4,0.2857142857142857,0.75
6,0.6866210222244262,0.4,0.2857142857142857,0.6666666666666666
7,0.7137102007865905,0.6,0.375,0.5833333333333333
8,0.6794013142585754,0.6,0.375,0.5208333333333334
9,0.6936065435409546,0.6,0.375,0.5833333333333333
10,0.7037771940231323,0.6,0.375,0.5625
11,0.6913476347923279,0.6,0.375,0.5416666666666667
12,0.7000466823577881,0.6,0.375,0.5833333333333334
13,0.6939289212226868,0.6,0.375,0.5833333333333333
