epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6914613485336304,0.6,0.375,0.45833333333333337
2,0.8299854755401611,0.4,0.2857142857142857,0.4166666666666667
3,0.7551332712173462,0.4,0.2857142857142857,0.5
4,0.7952919244766236,0.4,0.2857142857142857,0.3333333333333333
5,0.8302276134490967,0.4,0.2857142857142857,0.29166666666666663
6,0.6954259157180787,0.6,0.375,0.5
7,0.734568738937378,0.6,0.375,0.45833333333333337
8,0.7505138039588928,0.6,0.375,0.41666666666666663
9,0.6832712292671204,0.6,0.375,0.5416666666666666
10,0.6989124894142151,0.6,0.375,0.625
11,0.7417129397392273,0.6,0.375,0.375
12,0.6517157673835754,0.4,0.2857142857142857,0.4583333333333333
13,0.7513879776000977,0.3,0.23076923076923078,0.375
