epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7242876052856445,0.3,0.23076923076923078,0.4285714285714286
2,0.7266236782073975,0.7,0.4117647058823529,0.5714285714285714
3,0.7597687363624572,0.7,0.4117647058823529,0.5714285714285714
4,0.6914942860603333,0.3,0.23076923076923078,0.42857142857142855
5,0.7742082357406617,0.3,0.23076923076923078,0.2857142857142857
6,0.7773529291152954,0.3,0.23076923076923078,0.47619047619047616
7,0.6716479539871216,0.3,0.23076923076923078,0.47619047619047616
8,0.682296884059906,0.3,0.23076923076923078,0.7142857142857142
9,0.7660808682441711,0.3,0.23076923076923078,0.2857142857142857
10,0.7288463354110718,0.3,0.23076923076923078,0.2857142857142857
11,0.7750773668289185,0.3,0.23076923076923078,0.7142857142857143
12,0.7046518445014953,0.7,0.4117647058823529,0.6190476190476191
13,0.7223875403404236,0.7,0.4117647058823529,0.7619047619047619
14,0.6675689101219178,0.7,0.4117647058823529,0.7142857142857142
