epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7112995266914368,0.4,0.2857142857142857,0.625
2,0.6897050857543945,0.4,0.2857142857142857,0.625
3,0.852680218219757,0.4,0.2857142857142857,0.75
4,0.7979336142539978,0.4,0.2857142857142857,0.45833333333333337
5,0.7383397936820983,0.6,0.375,0.33333333333333337
6,0.664482831954956,0.6,0.375,0.125
7,0.6511840701103211,0.6,0.375,0.25
8,0.686465036869049,0.6,0.375,0.25
9,0.7465277075767517,0.6,0.375,0.375
10,0.6943167686462403,0.6,0.375,0.7083333333333334
11,0.6760250687599182,0.6,0.375,0.4166666666666667
12,0.7170329809188842,0.6,0.375,0.7916666666666667
13,0.6912401437759399,0.6,0.375,0.75
14,0.7227088809013367,0.6,0.375,0.75
15,0.7275130391120911,0.6,0.375,0.24999999999999997
16,0.74920654296875,0.6,0.375,0.33333333333333337
17,0.7434104084968567,0.6,0.375,0.41666666666666663
