epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8078578591346741,0.3,0.23076923076923078,0.6190476190476191
2,0.712575900554657,0.3,0.23076923076923078,0.9523809523809524
3,0.6911211967468261,0.7,0.4117647058823529,0.6666666666666666
4,0.6989990592002868,0.7,0.4117647058823529,0.7142857142857143
5,0.6953053832054138,0.7,0.4117647058823529,0.9523809523809524
6,0.6847062706947327,0.7,0.4117647058823529,0.5952380952380953
7,0.6982504487037658,0.3,0.23076923076923078,0.5238095238095238
8,0.7019294857978821,0.3,0.23076923076923078,0.5238095238095238
9,0.6991662502288818,0.3,0.23076923076923078,0.7619047619047619
10,0.687900722026825,0.7,0.4117647058823529,0.5238095238095238
11,0.6955686926841735,0.7,0.4117647058823529,0.38095238095238093
12,0.7022571444511414,0.7,0.4117647058823529,0.3333333333333333
13,0.7082675814628601,0.3,0.23076923076923078,0.2857142857142857
14,0.6940536737442017,0.3,0.23076923076923078,0.40476190476190477
15,0.7048062443733215,0.7,0.4117647058823529,0.5714285714285714
