epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8142251014709473,0.6,0.375,0.33333333333333337
2,0.7121803402900696,0.4,0.2857142857142857,0.5833333333333334
3,0.7126290082931519,0.6,0.375,0.5833333333333333
4,0.6945007085800171,0.4,0.2857142857142857,0.4583333333333333
5,0.7296231865882874,0.6,0.375,0.375
6,0.702601182460785,0.6,0.375,0.5
7,0.6939563751220703,0.4,0.2857142857142857,0.2708333333333333
8,0.7259637117385864,0.4,0.2857142857142857,0.5625
9,0.721975815296173,0.6,0.375,0.45833333333333337
10,0.6915329456329345,0.6,0.375,0.375
11,0.707274603843689,0.6,0.375,0.375
12,0.7013199806213379,0.6,0.375,0.10416666666666664
13,0.6977192878723144,0.6,0.375,0.5833333333333333
