epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7275549530982971,0.6,0.375,0.3333333333333333
2,0.7501460313796997,0.6,0.375,0.20833333333333331
3,0.7386418104171752,0.6,0.375,0.25
4,0.7186944246292114,0.6,0.375,0.2916666666666667
5,0.7693289399147034,0.6,0.375,0.4166666666666667
6,0.7305517792701721,0.6,0.375,0.24999999999999997
7,0.7444540739059449,0.6,0.375,0.2916666666666667
8,0.6934155583381653,0.6,0.375,0.41666666666666663
9,0.7576294064521789,0.6,0.375,0.375
10,0.7181305766105652,0.6,0.375,0.24999999999999997
11,0.6962271809577942,0.6,0.375,0.2916666666666667
12,0.7357277870178223,0.6,0.375,0.375
13,0.7157825469970703,0.6,0.375,0.5416666666666667
