epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7534796595573425,0.6,0.375,0.29166666666666663
2,0.7724934816360474,0.6,0.375,0.5833333333333334
3,0.727354782819748,0.6,0.375,0.5
4,0.8512067675590516,0.6,0.375,0.5833333333333333
5,0.7013347506523132,0.4,0.2857142857142857,0.16666666666666669
6,0.7749409914016724,0.4,0.2857142857142857,0.20833333333333334
7,0.7595738768577576,0.4,0.2857142857142857,0.5
8,0.688560938835144,0.4,0.2857142857142857,0.41666666666666663
9,0.7422398328781128,0.4,0.2857142857142857,0.25
10,0.7204206824302674,0.4,0.2857142857142857,0.16666666666666666
11,0.760353434085846,0.6,0.375,0.16666666666666666
12,0.6909782290458679,0.6,0.375,0.625
13,0.7724095821380615,0.6,0.375,0.5833333333333334
