epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7872668385505677,0.6,0.375,0.5
2,0.6549584984779357,0.6,0.375,0.41666666666666663
3,0.6709712088108063,0.6,0.375,0.375
4,0.7465426325798035,0.6,0.375,0.45833333333333326
5,0.8058642864227294,0.6,0.375,0.33333333333333337
6,0.7593188047409057,0.4,0.2857142857142857,0.375
7,0.7820022225379943,0.6,0.375,0.7083333333333334
8,0.7134170413017273,0.6,0.375,0.4166666666666667
9,0.731221616268158,0.6,0.375,0.5
10,0.7136233925819397,0.6,0.375,0.7916666666666667
11,0.7102954387664795,0.6,0.375,0.4583333333333333
12,0.6354245185852051,0.6,0.375,0.29166666666666663
13,0.7186412572860718,0.6,0.375,0.24999999999999997
