epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7593168973922729,0.6,0.375,0.5
2,0.7310447931289673,0.6,0.375,0.25
3,0.7706037521362304,0.6,0.375,0.20833333333333331
4,0.7757534146308899,0.6,0.375,0.24999999999999997
5,0.7100678205490112,0.6,0.375,0.29166666666666663
6,0.6914099335670472,0.6,0.375,0.375
7,0.6967812180519104,0.6,0.375,0.41666666666666663
8,0.7506985068321228,0.6,0.375,0.4166666666666667
9,0.7647150158882141,0.6,0.375,0.375
10,0.6846589863300323,0.6,0.375,0.3333333333333333
11,0.6545748710632324,0.6,0.375,0.375
12,0.7123879790306091,0.6,0.375,0.41666666666666663
13,0.7423464775085449,0.6,0.375,0.41666666666666663
