variant,fold,slice_type,bucket,accuracy,f1_macro,support,roc_auc
baseline,fold1,num_nodes,high,0.0,0.0,5.0,0.0
baseline,fold1,num_nodes,low,0.5,0.5,4.0,0.5
baseline,fold1,num_nodes,mid,0.8333333333333334,0.7777777777777777,6.0,0.8
baseline,fold2,num_nodes,high,0.4,0.2857142857142857,5.0,0.5
baseline,fold2,num_nodes,low,0.5,0.3333333333333333,4.0,0.5
baseline,fold2,num_nodes,mid,1.0,1.0,6.0,1.0
baseline,fold3,num_nodes,high,0.6666666666666666,0.4,6.0,0.5
baseline,fold3,num_nodes,low,0.6,0.375,5.0,0.33333333333333337
baseline,fold3,num_nodes,mid,0.75,0.42857142857142855,4.0,0.6666666666666667
baseline,fold4,num_nodes,high,0.75,0.42857142857142855,4.0,1.0
baseline,fold4,num_nodes,low,0.4,0.2857142857142857,5.0,0.5
baseline,fold4,num_nodes,mid,0.8333333333333334,0.45454545454545453,6.0,0.8
baseline,fold5,num_nodes,high,0.6,0.5833333333333333,5.0,0.6666666666666667
baseline,fold5,num_nodes,low,0.42857142857142855,0.41666666666666663,7.0,0.41666666666666663
baseline,fold5,num_nodes,mid,0.6666666666666666,0.6666666666666666,3.0,1.0
transformer,fold1,num_nodes,high,0.2,0.16666666666666666,5.0,0.0
transformer,fold1,num_nodes,low,0.75,0.7333333333333334,4.0,0.75
transformer,fold1,num_nodes,mid,0.8333333333333334,0.7777777777777777,6.0,1.0
transformer,fold2,num_nodes,high,0.4,0.2857142857142857,5.0,0.6666666666666667
transformer,fold2,num_nodes,low,0.5,0.3333333333333333,4.0,0.5
transformer,fold2,num_nodes,mid,0.8333333333333334,0.45454545454545453,6.0,0.8
transformer,fold3,num_nodes,high,0.5,0.4857142857142857,6.0,0.375
transformer,fold3,num_nodes,low,0.6,0.5833333333333333,5.0,0.6666666666666667
transformer,fold3,num_nodes,mid,0.25,0.2,4.0,0.33333333333333337
transformer,fold4,num_nodes,high,0.75,0.42857142857142855,4.0,1.0
transformer,fold4,num_nodes,low,0.6,0.5833333333333333,5.0,0.5
transformer,fold4,num_nodes,mid,0.6666666666666666,0.4,6.0,0.4
transformer,fold5,num_nodes,high,0.8,0.7619047619047619,5.0,0.8333333333333334
transformer,fold5,num_nodes,low,0.2857142857142857,0.2857142857142857,7.0,0.41666666666666663
transformer,fold5,num_nodes,mid,0.6666666666666666,0.4,3.0,1.0
baseline,fold1,density,high,0.6,0.5833333333333333,5.0,0.5
baseline,fold1,density,low,0.0,0.0,5.0,0.0
baseline,fold1,density,mid,0.8,0.7619047619047619,5.0,0.75
baseline,fold2,density,high,0.5,0.3333333333333333,4.0,0.5
baseline,fold2,density,low,0.4,0.2857142857142857,5.0,0.5
baseline,fold2,density,mid,1.0,1.0,6.0,1.0
baseline,fold3,density,high,0.6,0.375,5.0,0.33333333333333337
baseline,fold3,density,low,0.6666666666666666,0.4,6.0,0.5
baseline,fold3,density,mid,0.75,0.42857142857142855,4.0,0.6666666666666667
baseline,fold4,density,high,0.4,0.2857142857142857,5.0,0.5
baseline,fold4,density,low,0.75,0.42857142857142855,4.0,1.0
baseline,fold4,density,mid,0.8333333333333334,0.45454545454545453,6.0,0.8
baseline,fold5,density,high,0.5,0.4857142857142857,6.0,0.4444444444444444
baseline,fold5,density,low,0.6,0.5833333333333333,5.0,0.6666666666666667
baseline,fold5,density,mid,0.5,0.5,4.0,0.6666666666666667
transformer,fold1,density,high,0.8,0.7619047619047619,5.0,0.8333333333333334
transformer,fold1,density,low,0.2,0.16666666666666666,5.0,0.0
transformer,fold1,density,mid,0.8,0.7619047619047619,5.0,1.0
transformer,fold2,density,high,0.5,0.3333333333333333,4.0,0.5
transformer,fold2,density,low,0.4,0.2857142857142857,5.0,0.6666666666666667
transformer,fold2,density,mid,0.8333333333333334,0.45454545454545453,6.0,0.8
transformer,fold3,density,high,0.6,0.5833333333333333,5.0,0.6666666666666667
transformer,fold3,density,low,0.5,0.4857142857142857,6.0,0.375
transformer,fold3,density,mid,0.25,0.2,4.0,0.33333333333333337
transformer,fold4,density,high,0.6,0.5833333333333333,5.0,0.5
transformer,fold4,density,low,0.75,0.42857142857142855,4.0,1.0
transformer,fold4,density,mid,0.6666666666666666,0.4,6.0,0.4
transformer,fold5,density,high,0.3333333333333333,0.3333333333333333,6.0,0.4444444444444444
transformer,fold5,density,low,0.8,0.7619047619047619,5.0,0.8333333333333334
transformer,fold5,density,mid,0.5,0.3333333333333333,4.0,0.6666666666666667
baseline,fold1,est_diameter,high,0.0,0.0,4.0,0.0
baseline,fold1,est_diameter,low,0.5714285714285714,0.5714285714285714,7.0,0.6666666666666666
baseline,fold1,est_diameter,mid,0.75,0.42857142857142855,4.0,nan
baseline,fold2,est_diameter,high,0.3333333333333333,0.25,3.0,0.0
baseline,fold2,est_diameter,low,0.7142857142857143,0.65,7.0,0.6666666666666666
baseline,fold2,est_diameter,mid,0.8,0.4444444444444444,5.0,1.0
baseline,fold3,est_diameter,high,0.5,0.3333333333333333,4.0,0.5
baseline,fold3,est_diameter,low,0.5714285714285714,0.36363636363636365,7.0,0.3333333333333333
baseline,fold3,est_diameter,mid,1.0,1.0,4.0,nan
baseline,fold4,est_diameter,high,0.75,0.42857142857142855,4.0,1.0
baseline,fold4,est_diameter,low,0.5714285714285714,0.36363636363636365,7.0,0.5
baseline,fold4,est_diameter,mid,0.75,0.42857142857142855,4.0,1.0
baseline,fold5,est_diameter,high,0.6,0.375,5.0,0.5
baseline,fold5,est_diameter,low,0.42857142857142855,0.3,7.0,0.41666666666666663
baseline,fold5,est_diameter,mid,0.6666666666666666,0.6666666666666666,3.0,0.5
transformer,fold1,est_diameter,high,0.0,0.0,4.0,0.0
transformer,fold1,est_diameter,low,0.8571428571428571,0.8444444444444444,7.0,0.8333333333333333
transformer,fold1,est_diameter,mid,0.75,0.42857142857142855,4.0,nan
transformer,fold2,est_diameter,high,0.3333333333333333,0.25,3.0,0.5
transformer,fold2,est_diameter,low,0.5714285714285714,0.36363636363636365,7.0,0.75
transformer,fold2,est_diameter,mid,0.8,0.4444444444444444,5.0,0.5
transformer,fold3,est_diameter,high,0.5,0.5,4.0,0.5
transformer,fold3,est_diameter,low,0.42857142857142855,0.41666666666666663,7.0,0.5833333333333334
transformer,fold3,est_diameter,mid,0.5,0.3333333333333333,4.0,nan
transformer,fold4,est_diameter,high,0.75,0.42857142857142855,4.0,1.0
transformer,fold4,est_diameter,low,0.7142857142857143,0.7083333333333333,7.0,0.5833333333333334
transformer,fold4,est_diameter,mid,0.5,0.3333333333333333,4.0,0.33333333333333337
transformer,fold5,est_diameter,high,0.8,0.4444444444444444,5.0,0.5
