variant,slice_type,bucket,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,support_mean
baseline,num_nodes,high,0.4833333333333333,0.2679137506321349,0.3395238095238095,0.1945259952083304,0.5333333333333334,0.3231786571610886,5.0
baseline,num_nodes,low,0.48571428571428565,0.06939975886566353,0.3821428571428571,0.07323122142490333,0.45,0.06666666666666667,5.0
baseline,num_nodes,mid,0.8166666666666668,0.11055415967851334,0.6655122655122654,0.2121956069049172,0.8533333333333333,0.12927146286443542,5.0
transformer,num_nodes,high,0.53,0.2227105745132009,0.4257142857142857,0.2016620283944033,0.5750000000000001,0.353946009693255,5.0
transformer,num_nodes,low,0.5471428571428572,0.1531705731849167,0.5038095238095238,0.16849742793275704,0.5666666666666667,0.12247448713915894,5.0
transformer,num_nodes,mid,0.65,0.21343747458109497,0.44646464646464645,0.18702750553801617,0.7066666666666667,0.28782710859897204,5.0
baseline,density,high,0.52,0.0748331477354788,0.41261904761904755,0.10797454978540333,0.45555555555555555,0.06478835438717,5.0
baseline,density,low,0.4833333333333333,0.2679137506321349,0.3395238095238095,0.1945259952083304,0.5333333333333334,0.3231786571610886,5.0
baseline,density,mid,0.7766666666666666,0.16179548132682128,0.629004329004329,0.2202506192127096,0.7766666666666667,0.12274635093014644,5.0
transformer,density,high,0.5666666666666667,0.1520233900132184,0.5190476190476191,0.16506028583273344,0.5888888888888889,0.1431566525191681,5.0
transformer,density,low,0.53,0.2227105745132009,0.4257142857142857,0.2016620283944033,0.5750000000000001,0.353946009693255,5.0
transformer,density,mid,0.61,0.21489015281714932,0.42995670995671,0.18649808867020853,0.64,0.24801433650317697,5.0
baseline,est_diameter,high,0.43666666666666665,0.25699113689861847,0.2773809523809524,0.15047166961261868,0.4,0.37416573867739417,4.0
baseline,est_diameter,low,0.5714285714285714,0.09035079029052513,0.4497402597402598,0.13576591325223858,0.5166666666666666,0.13333333333333333,7.0
baseline,est_diameter,mid,0.7933333333333332,0.11185307823708347,0.5936507936507935,0.22235823502015822,0.8333333333333334,0.23570226039551584,4.0
transformer,est_diameter,high,0.4766666666666667,0.2924228293261508,0.3246031746031746,0.1826845525888769,0.5,0.31622776601683794,4.0
transformer,est_diameter,low,0.5714285714285714,0.20203050891044216,0.5237590187590188,0.2147929939910331,0.65,0.12247448713915889,7.0
transformer,est_diameter,mid,0.6433333333333333,0.12454361128179603,0.4412698412698412,0.12188161155842835,0.6111111111111112,0.2832788618662658,4.0
