epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6781547367572784,0.6666666666666666,0.4,0.59375
2,0.5730525155862173,0.6666666666666666,0.4,0.71875
3,0.3939707080523173,0.6666666666666666,0.4,0.375
4,0.20473290979862213,0.5833333333333334,0.4957983193277311,0.34375
5,0.08081002905964851,0.6666666666666666,0.4,0.40625
6,0.04343854853262504,0.6666666666666666,0.4,0.375
7,0.01971872119853894,0.6666666666666666,0.4,0.3125
8,0.011403682796905438,0.6666666666666666,0.4,0.3125
9,0.007400219173481067,0.6666666666666666,0.4,0.3125
10,0.005145610232527058,0.6666666666666666,0.4,0.34375
11,0.0037238067792107663,0.6666666666666666,0.4,0.34375
12,0.003201262753767272,0.6666666666666666,0.4,0.34375
13,0.002345888914229969,0.6666666666666666,0.4,0.34375
14,0.0019723130001996956,0.6666666666666666,0.4,0.34375
15,0.0017290954322864611,0.6666666666666666,0.4,0.40625
16,0.0014136066505064566,0.6666666666666666,0.4,0.40625
17,0.001394318222689132,0.6666666666666666,0.4,0.375
18,0.001146550930570811,0.6666666666666666,0.4,0.3125
19,0.00112557644994619,0.6666666666666666,0.4,0.3125
20,0.0009325710901369652,0.6666666666666666,0.4,0.3125
21,0.0009658057242631912,0.6666666666666666,0.4,0.3125
22,0.0009224253978269795,0.6666666666666666,0.4,0.3125
23,0.0007266945128018657,0.6666666666666666,0.4,0.3125
24,0.0007305996841751039,0.6666666666666666,0.4,0.3125
25,0.0006402637906527767,0.6666666666666666,0.4,0.3125
26,0.00051834948923594,0.6666666666666666,0.4,0.3125
27,0.0004908998671453446,0.6666666666666666,0.4,0.34375
28,0.0005112892977194861,0.6666666666666666,0.4,0.375
29,0.0005206113710300997,0.6666666666666666,0.4,0.375
30,0.00041543689925068367,0.6666666666666666,0.4,0.34375
31,0.0003626726587147762,0.6666666666666666,0.4,0.34375
32,0.0003945927261762942,0.6666666666666666,0.4,0.34375
33,0.000425977695461673,0.6666666666666666,0.4,0.34375
34,0.00036426170360452187,0.6666666666666666,0.4,0.34375
35,0.0002541280652318771,0.6666666666666666,0.4,0.34375
36,0.00028921584695732844,0.6666666666666666,0.4,0.34375
37,0.00027263133476177853,0.6666666666666666,0.4,0.34375
38,0.0002833095835133766,0.6666666666666666,0.4,0.34375
39,0.00029659275605808944,0.6666666666666666,0.4,0.34375
