phase,model,seed,global_attn,attn_dropout,weight_decay,returncode,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,val_thr_mean,val_thr_std,val_thr_f1_mean,val_thr_f1_std,summary_path
grid,sage,42,performer,0.0,0.0001,0,0.586667,0.160000,0.502049,0.160272,0.635852,0.199668,0.552000,0.234725,0.906776,0.059455,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_151849_502177__performer\gps_summary_20260311_151849_502177.csv
grid,sage,42,performer,0.0,0.0005,0,0.600000,0.073030,0.544044,0.061424,0.605630,0.129738,0.384000,0.244998,0.888553,0.086310,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_151947_881698__performer\gps_summary_20260311_151947_881698.csv
grid,sage,42,performer,0.0,0.001,0,0.506667,0.090431,0.455295,0.046718,0.550815,0.132194,0.400000,0.331240,0.857697,0.085835,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152058_471091__performer\gps_summary_20260311_152058_471091.csv
grid,sage,42,performer,0.05,0.0001,0,0.640000,0.080000,0.578030,0.069161,0.603556,0.128017,0.498000,0.251269,0.862778,0.081788,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152209_477917__performer\gps_summary_20260311_152209_477917.csv
grid,sage,42,performer,0.05,0.0005,0,0.586667,0.106667,0.525455,0.099517,0.577333,0.080840,0.490000,0.290792,0.853889,0.092285,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152311_432048__performer\gps_summary_20260311_152311_432048.csv
grid,sage,42,performer,0.05,0.001,0,0.560000,0.161107,0.506961,0.129459,0.601037,0.202411,0.520000,0.225477,0.872937,0.073316,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152411_809295__performer\gps_summary_20260311_152411_809295.csv
grid,sage,42,performer,0.1,0.0001,0,0.640000,0.108321,0.584824,0.117964,0.661037,0.122171,0.450000,0.292027,0.849484,0.077510,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152520_677869__performer\gps_summary_20260311_152520_677869.csv
grid,sage,42,performer,0.1,0.0005,0,0.626667,0.090431,0.575481,0.095181,0.616444,0.133855,0.428000,0.238109,0.847538,0.091500,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152618_603223__performer\gps_summary_20260311_152618_603223.csv
grid,sage,42,performer,0.1,0.001,0,0.666667,0.133333,0.604978,0.136138,0.623852,0.140370,0.636000,0.215184,0.897887,0.092274,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152721_381384__performer\gps_summary_20260311_152721_381384.csv
grid,sage,42,performer,0.2,0.0001,0,0.586667,0.097980,0.522789,0.078895,0.566222,0.082485,0.548000,0.204490,0.869722,0.075510,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152821_998973__performer\gps_summary_20260311_152821_998973.csv
grid,sage,42,performer,0.2,0.0005,0,0.560000,0.090431,0.475755,0.095689,0.572741,0.093637,0.412000,0.339788,0.853214,0.073656,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_152942_642169__performer\gps_summary_20260311_152942_642169.csv
grid,sage,42,performer,0.2,0.001,0,0.533333,0.084327,0.493283,0.066984,0.573630,0.069342,0.382000,0.249431,0.855159,0.046060,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\sage\20260311_153054_080694__performer\gps_summary_20260311_153054_080694.csv
grid,gin,42,performer,0.0,0.0001,0,0.613333,0.088443,0.537905,0.107191,0.661037,0.132837,0.390000,0.345890,0.878095,0.105435,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153158_549207__performer\gps_summary_20260311_153158_549207.csv
grid,gin,42,performer,0.0,0.0005,0,0.613333,0.097980,0.563720,0.128963,0.625037,0.085933,0.088000,0.049558,0.849038,0.049560,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153257_170630__performer\gps_summary_20260311_153257_170630.csv
grid,gin,42,performer,0.0,0.001,0,0.626667,0.053333,0.540434,0.080953,0.545926,0.087929,0.270000,0.325883,0.849038,0.049560,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153354_788026__performer\gps_summary_20260311_153354_788026.csv
grid,gin,42,performer,0.05,0.0001,0,0.640000,0.032660,0.604246,0.037088,0.662222,0.084339,0.186000,0.259892,0.908046,0.080542,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153457_447952__performer\gps_summary_20260311_153457_447952.csv
grid,gin,42,performer,0.05,0.0005,0,0.640000,0.080000,0.567451,0.122082,0.630222,0.075837,0.598000,0.269919,0.873761,0.069883,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153610_096203__performer\gps_summary_20260311_153610_096203.csv
grid,gin,42,performer,0.05,0.001,0,0.653333,0.077746,0.582379,0.095610,0.648148,0.102583,0.420000,0.260231,0.921718,0.039414,gps_work/results/gps_artifacts/improve_round/s3_auc_tune\graph_level\gin\20260311_153711_711597__performer\gps_summary_20260311_153711_711597.csv
