epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6187821527322134,0.5,0.4375,0.5625,0.5625
2,0.37840719521045685,0.5833333333333334,0.5804195804195804,0.6875,0.6875
3,0.3382560883959134,0.5,0.4857142857142857,0.84375,0.84375
4,0.2825358634193738,0.75,0.7333333333333334,0.84375,0.84375
5,0.46929871290922165,0.6666666666666666,0.6571428571428571,0.8125,0.8125
6,0.3344586168726285,0.75,0.7333333333333334,0.75,0.75
7,0.2116450866063436,0.75,0.7333333333333334,0.78125,0.78125
8,0.308973740786314,0.75,0.7333333333333334,0.84375,0.84375
9,0.08759493380784988,0.5833333333333334,0.5804195804195804,0.96875,0.96875
10,0.17524281392494837,1.0,1.0,1.0,1.0
11,0.12289118270079295,0.9166666666666666,0.8991596638655461,1.0,1.0
12,0.22238828179736933,0.6666666666666666,0.6666666666666666,1.0,1.0
13,0.07215931887427966,0.6666666666666666,0.6666666666666666,1.0,1.0
14,0.22746393426011005,0.75,0.7333333333333334,0.90625,0.90625
15,0.13854511687532067,0.8333333333333334,0.8125,0.9375,0.9375
16,0.025832668722917635,0.8333333333333334,0.8125,0.90625,0.90625
17,0.05918457871302962,0.8333333333333334,0.8125,0.875,0.875
18,0.4749230899227162,0.5833333333333334,0.5804195804195804,0.78125,0.78125
19,0.29367970768362284,0.4166666666666667,0.37777777777777777,0.75,0.75
20,0.3804415042201678,0.5833333333333334,0.5804195804195804,0.84375,0.84375
21,0.32739445318778354,0.5,0.5,0.8125,0.8125
22,0.31639142831166583,0.75,0.7333333333333334,0.8125,0.8125
23,0.14670569387574992,0.8333333333333334,0.8125,0.8125,0.8125
24,0.05439220027377208,0.8333333333333334,0.8125,0.8125,0.8125
25,0.26164281492431957,0.8333333333333334,0.8125,0.8125,0.8125
26,0.058736099085460104,0.75,0.7333333333333334,0.78125,0.78125
27,0.05560049849251906,0.8333333333333334,0.8125,0.75,0.75
28,0.06352172171076138,0.75,0.6974789915966386,0.75,0.75
29,0.13276362170775732,0.75,0.6974789915966386,0.78125,0.78125
30,0.08734684996306896,0.75,0.6974789915966386,0.8125,0.8125
