epoch,train_loss,lr,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6758998135725657,0.0002,0.5833333333333334,0.5804195804195804,0.59375,0.59375
2,0.6236089020967484,0.0003,0.5833333333333334,0.5804195804195804,0.78125,0.78125
3,0.4829695572455724,0.0004,0.5833333333333334,0.5804195804195804,0.75,0.75
4,0.3247985318303108,0.0005,0.5833333333333334,0.5804195804195804,0.78125,0.78125
5,0.22976118822892508,0.0006,0.5833333333333334,0.5804195804195804,0.8125,0.8125
6,0.12816439444820085,0.0007,0.75,0.7482517482517483,0.875,0.875
7,0.054169014717141785,0.0008,0.75,0.7482517482517483,0.875,0.875
8,0.03455045043180386,0.0009000000000000001,0.8333333333333334,0.8285714285714285,0.875,0.875
9,0.03377801412716508,0.001,0.6666666666666666,0.6666666666666666,0.875,0.875
10,0.00822581211104989,0.0009997981354499536,0.5833333333333334,0.5804195804195804,0.84375,0.84375
11,0.09496941984010239,0.000999192706443437,0.6666666666666666,0.6571428571428571,0.84375,0.84375
12,0.44905515302283067,0.0009981842067770322,0.6666666666666666,0.6666666666666666,0.9375,0.9375
13,0.4440337748577197,0.0009967734589975323,0.6666666666666666,0.6666666666666666,0.8125,0.8125
14,0.1590176826963822,0.0009949616137310618,0.8333333333333334,0.8285714285714285,0.9375,0.9375
15,0.2224866822361946,0.000992750148744608,0.6666666666666666,0.5555555555555556,0.90625,0.90625
16,0.3748162258416414,0.0009901408677407348,0.8333333333333334,0.8285714285714285,0.9375,0.9375
17,0.09266146644949913,0.0009871358988864552,0.8333333333333334,0.8125,0.90625,0.90625
18,0.06310540872315566,0.0009837376930774688,0.75,0.7333333333333334,0.90625,0.90625
19,0.19055152591317892,0.0009799490219391763,0.75,0.7333333333333334,0.90625,0.90625
20,0.03338953914741675,0.0009757729755661011,0.8333333333333334,0.8125,0.75,0.75
21,0.12024476348112027,0.0009712129600015647,0.75,0.6210526315789473,0.59375,0.59375
22,0.08598796154061954,0.0009662726944596689,0.75,0.6210526315789473,0.8125,0.8125
23,0.14232621621340513,0.0009609562082918508,0.8333333333333334,0.7777777777777777,0.875,0.875
24,0.06717740573609869,0.0009552678377004867,0.75,0.7333333333333334,0.90625,0.90625
25,0.03869010414928198,0.0009492122222022224,0.8333333333333334,0.7777777777777777,0.9375,0.9375
26,0.03353853663429618,0.0009427943008439181,0.75,0.6974789915966386,0.90625,0.90625
27,0.0723075376978765,0.0009360193081742898,0.8333333333333334,0.8125,0.90625,0.90625
28,0.14946633530780673,0.0009288927699745367,0.8333333333333334,0.8125,0.90625,0.90625
29,0.02417671005241573,0.0009214204987514347,0.8333333333333334,0.8125,0.875,0.875
30,0.16346213966608047,0.0009136085889965731,0.75,0.7333333333333334,0.90625,0.90625
31,0.039124689220140375,0.000905463412215599,0.8333333333333334,0.8125,0.9375,0.9375
32,0.04294130252674222,0.0008969916117315263,0.75,0.6974789915966386,0.9375,0.9375
33,0.014772339879224697,0.0008882000972663459,0.6666666666666666,0.5555555555555556,0.90625,0.90625
34,0.0061880328770106035,0.0008790960393053579,0.75,0.6974789915966386,0.90625,0.90625
35,0.0195235773959818,0.0008696868632488205,0.8333333333333334,0.8125,0.84375,0.84375
36,0.004900430756000181,0.0008599802433556869,0.8333333333333334,0.8125,0.84375,0.84375
37,0.004555048692661027,0.0008499840964843702,0.8333333333333334,0.8125,0.875,0.875
38,0.019071201793849468,0.0008397065756356396,0.8333333333333334,0.8125,0.875,0.875
39,0.012885333620943129,0.0008291560633029161,0.75,0.6974789915966386,0.84375,0.84375
40,0.002149395877495408,0.0008183411646353909,0.75,0.6210526315789473,0.875,0.875
41,0.07866360417877634,0.0008072707004195419,0.75,0.6974789915966386,0.875,0.875
42,0.002427495453351488,0.0007959536998847742,0.75,0.6974789915966386,0.875,0.875
