epoch,train_loss,lr,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6918041110038757,5.9999999999999995e-05,0.6666666666666666,0.4,0.65625,0.65625
2,0.6430279016494751,8.999999999999999e-05,0.5833333333333334,0.3684210526315789,0.71875,0.71875
3,0.5084501107533773,0.00011999999999999999,0.6666666666666666,0.4,0.8125,0.8125
4,0.4351714551448822,0.00015,0.75,0.6210526315789473,0.84375,0.84375
5,0.3290659636259079,0.00017999999999999998,0.75,0.6210526315789473,0.84375,0.84375
6,0.1988177994887034,0.00020999999999999998,0.75,0.6210526315789473,0.78125,0.78125
7,0.16960241893927255,0.00023999999999999998,0.75,0.6210526315789473,0.875,0.875
8,0.06993463635444641,0.00027,0.8333333333333334,0.7777777777777777,0.90625,0.90625
9,0.03689311631023884,0.0003,0.75,0.7333333333333334,0.84375,0.84375
10,0.023107473738491535,0.00029994086796008743,0.75,0.7333333333333334,0.8125,0.8125
11,0.07170643378049135,0.00029976352006928965,0.8333333333333334,0.8125,0.84375,0.84375
12,0.02669779754554232,0.0002994681009750902,0.6666666666666666,0.625,0.84375,0.84375
13,0.062228793588777385,0.0002990548516255397,0.75,0.6210526315789473,0.875,0.875
14,0.01912573802595337,0.00029852410907273526,0.75,0.6210526315789473,0.78125,0.78125
15,0.04444945106903712,0.00029787630619791547,0.6666666666666666,0.4,0.78125,0.78125
16,0.054460492761184774,0.000297111971358397,0.5833333333333334,0.3684210526315789,0.71875,0.71875
17,0.2148888224425415,0.0002962317279566383,0.75,0.6210526315789473,0.875,0.875
18,0.027702466274301212,0.0002952362939317838,0.75,0.6210526315789473,0.90625,0.90625
19,0.30391503078863025,0.0002941264811741021,0.5833333333333334,0.3684210526315789,0.78125,0.78125
20,0.16605234208206335,0.00029290319486279724,0.6666666666666666,0.4,0.84375,0.84375
21,0.13781172751138607,0.00029156743272773104,0.6666666666666666,0.4,0.875,0.875
22,0.019860241717348497,0.00029012028423566056,0.6666666666666666,0.4,0.75,0.75
23,0.23555138055235147,0.00028856292970165325,0.8333333333333334,0.7777777777777777,0.8125,0.8125
24,0.01862484433998664,0.00028689663932640516,0.8333333333333334,0.7777777777777777,0.84375,0.84375
25,0.07425570751850803,0.00028512277216024694,0.75,0.6974789915966386,0.84375,0.84375
26,0.08200675280143817,0.000283242774994683,0.75,0.7333333333333334,0.90625,0.90625
27,0.08704554988071322,0.00028125818118236766,0.6666666666666666,0.625,0.8125,0.8125
28,0.021954682966073353,0.0002791706093864804,0.75,0.6974789915966386,0.84375,0.84375
29,0.10690915716501574,0.00027698176226052123,0.75,0.6974789915966386,0.875,0.875
30,0.03344111951688925,0.0002746934250596022,0.75,0.6974789915966386,0.84375,0.84375
31,0.04569855572966238,0.00027230746418436733,0.8333333333333334,0.7777777777777777,0.875,0.875
32,0.014492470538243651,0.0002698258256587299,0.75,0.6974789915966386,0.875,0.875
33,0.006375567715925475,0.000267250533542667,0.75,0.6974789915966386,0.875,0.875
