model,seed,global_attn,attn_dropout,weight_decay,returncode,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,val_thr_mean,val_thr_std,val_thr_f1_mean,val_thr_f1_std,summary_path
sage,71,performer,0.1,0.0001,0,0.720000,0.049889,0.673961,0.066942,0.810963,0.100019,0.494000,0.288901,0.817215,0.076608,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\sage\20260311_161940_431436__performer\gps_summary_20260311_161940_431436.csv
sage,72,performer,0.1,0.0001,0,0.666667,0.059628,0.636190,0.072271,0.752741,0.060837,0.280000,0.302919,0.876825,0.089935,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\sage\20260311_162128_156155__performer\gps_summary_20260311_162128_156155.csv
sage,73,performer,0.1,0.0001,0,0.613333,0.114698,0.549742,0.105540,0.565926,0.153279,0.550000,0.433728,0.874883,0.048553,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\sage\20260311_162315_074486__performer\gps_summary_20260311_162315_074486.csv
sage,74,performer,0.1,0.0001,0,0.626667,0.067987,0.580166,0.062594,0.617037,0.044284,0.526000,0.281183,0.877274,0.049963,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\sage\20260311_162505_214464__performer\gps_summary_20260311_162505_214464.csv
sage,75,performer,0.1,0.0001,0,0.666667,0.042164,0.632483,0.063464,0.686370,0.201261,0.286000,0.313981,0.788999,0.169604,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\sage\20260311_162643_185002__performer\gps_summary_20260311_162643_185002.csv
gin,71,performer,0.05,0.0001,0,0.640000,0.080000,0.575863,0.085664,0.724741,0.105975,0.460000,0.357939,0.887878,0.066370,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gin\20260311_162810_099934__performer\gps_summary_20260311_162810_099934.csv
gin,72,performer,0.05,0.0001,0,0.680000,0.049889,0.657570,0.049052,0.657926,0.067677,0.400000,0.168523,0.910437,0.080420,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gin\20260311_162920_379950__performer\gps_summary_20260311_162920_379950.csv
gin,73,performer,0.05,0.0001,0,0.613333,0.142361,0.552970,0.178058,0.572741,0.137287,0.346000,0.188531,0.925378,0.066156,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gin\20260311_163018_446060__performer\gps_summary_20260311_163018_446060.csv
gin,74,performer,0.05,0.0001,3221226505,0.613333,0.142361,0.552970,0.178058,0.572741,0.137287,0.346000,0.188531,0.925378,0.066156,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gin\20260311_163018_446060__performer\gps_summary_20260311_163018_446060.csv
gin,75,performer,0.05,0.0001,0,0.626667,0.053333,0.528697,0.097529,0.631556,0.106420,0.270000,0.194319,0.867937,0.055264,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gin\20260311_163137_251129__performer\gps_summary_20260311_163137_251129.csv
gcn,71,multihead,0.2,0.001,0,0.666667,0.126491,0.642174,0.127358,0.691704,0.162106,0.146000,0.208000,0.852768,0.043323,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gcn\20260311_163240_346788__multihead\gps_summary_20260311_163240_346788.csv
gcn,72,multihead,0.2,0.001,0,0.666667,0.103280,0.645460,0.102449,0.676148,0.065139,0.288000,0.343360,0.895873,0.063821,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gcn\20260311_163355_465553__multihead\gps_summary_20260311_163355_465553.csv
gcn,73,multihead,0.2,0.001,0,0.533333,0.042164,0.490789,0.035914,0.633333,0.072786,0.296000,0.295337,0.909991,0.054499,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gcn\20260311_163509_643860__multihead\gps_summary_20260311_163509_643860.csv
gcn,74,multihead,0.2,0.001,0,0.706667,0.090431,0.634199,0.112491,0.638370,0.139476,0.440000,0.368130,0.826776,0.068830,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gcn\20260311_163631_744009__multihead\gps_summary_20260311_163631_744009.csv
gcn,75,multihead,0.2,0.001,0,0.733333,0.084327,0.690418,0.118251,0.724444,0.146086,0.198000,0.187553,0.807054,0.130497,gps_work/results/gps_artifacts/improve_round/s4_scheduler\graph_level\gcn\20260311_163749_653278__multihead\gps_summary_20260311_163749_653278.csv
