model,seed,global_attn,returncode,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,summary_path
pna,81,performer,0,0.706667,0.090431,0.682011,0.080562,0.702815,0.109743,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\pna\20260311_164049_221295__performer\gps_summary_20260311_164049_221295.csv
pna,82,performer,0,0.693333,0.123648,0.627888,0.107613,0.723259,0.134884,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\pna\20260311_164226_295052__performer\gps_summary_20260311_164226_295052.csv
pna,83,performer,0,0.600000,0.084327,0.533688,0.124516,0.584889,0.192591,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\pna\20260311_164340_248098__performer\gps_summary_20260311_164340_248098.csv
pna,84,performer,0,0.653333,0.129271,0.598353,0.140123,0.614963,0.206015,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\pna\20260311_164511_343630__performer\gps_summary_20260311_164511_343630.csv
pna,85,performer,0,0.746667,0.088443,0.728690,0.085472,0.754222,0.089890,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\pna\20260311_164638_581368__performer\gps_summary_20260311_164638_581368.csv
gine,81,multihead,0,0.680000,0.077746,0.583607,0.094217,0.665630,0.113826,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\gine\20260311_164804_768521__multihead\gps_summary_20260311_164804_768521.csv
gine,82,multihead,0,0.613333,0.185712,0.552841,0.195195,0.690667,0.235347,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\gine\20260311_164905_446852__multihead\gps_summary_20260311_164905_446852.csv
gine,83,multihead,0,0.546667,0.165462,0.494091,0.129065,0.528593,0.132124,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\gine\20260311_165002_926635__multihead\gps_summary_20260311_165002_926635.csv
gine,84,multihead,0,0.720000,0.097980,0.645546,0.168130,0.708000,0.184434,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\gine\20260311_165105_697317__multihead\gps_summary_20260311_165105_697317.csv
gine,85,multihead,0,0.666667,0.163299,0.625718,0.158970,0.673185,0.161444,gps_work/results/gps_artifacts/improve_round/s5_pna_gine_confirm\graph_level\gine\20260311_165211_139426__multihead\gps_summary_20260311_165211_139426.csv
