epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7147448182106018,0.4,0.2857142857142857,0.45833333333333337
2,0.5835513591766357,0.4,0.2857142857142857,0.5416666666666667
3,0.41177834272384645,0.4,0.2857142857142857,0.5833333333333334
4,0.329136449098587,0.4,0.2857142857142857,0.6666666666666667
5,0.2543075501918793,0.4,0.2857142857142857,0.5416666666666667
6,0.1695111870765686,0.4,0.2857142857142857,0.5416666666666667
7,0.1415977269411087,0.4,0.2857142857142857,0.45833333333333337
8,0.127128866314888,0.4,0.2857142857142857,0.5833333333333333
9,0.14602546393871307,0.4,0.2857142857142857,0.5416666666666666
10,0.09646210223436355,0.4,0.2857142857142857,0.5
11,0.13958280086517333,0.4,0.2857142857142857,0.375
12,0.06976205706596375,0.4,0.2857142857142857,0.375
13,0.04806762710213661,0.6,0.375,0.45833333333333337
14,0.05155961886048317,0.6,0.375,0.7083333333333334
15,0.07422025352716446,0.6,0.375,0.45833333333333337
16,0.02906919941306114,0.6,0.375,0.45833333333333337
17,0.04463678151369095,0.6,0.5238095238095238,0.45833333333333337
18,0.018421190418303014,0.5,0.45054945054945056,0.45833333333333337
19,0.01569122839719057,0.4,0.375,0.5
20,0.012179103679955006,0.5,0.4949494949494949,0.5
21,0.010563496686518192,0.5,0.4949494949494949,0.5
22,0.010197409801185131,0.5,0.4949494949494949,0.5
23,0.008017004374414683,0.5,0.45054945054945056,0.45833333333333337
24,0.24325781632214785,0.4,0.2857142857142857,0.375
25,0.08288403898477555,0.6,0.375,0.625
26,0.1884933441877365,0.6,0.375,0.5416666666666667
27,0.1893737256526947,0.6,0.375,0.5416666666666666
28,0.30904229544103146,0.6,0.375,0.29166666666666663
29,0.2125951886177063,0.6,0.375,0.5416666666666667
