epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7409765601158143,0.3,0.23076923076923078,0.4761904761904762
2,0.6160509467124939,0.3,0.23076923076923078,0.5238095238095238
3,0.5154517769813538,0.3,0.23076923076923078,0.6190476190476191
4,0.35178970694541933,0.3,0.23076923076923078,0.6666666666666667
5,0.24842770099639894,0.3,0.23076923076923078,0.6190476190476191
6,0.19972860515117646,0.3,0.23076923076923078,0.6190476190476191
7,0.13951315581798554,0.3,0.23076923076923078,0.6190476190476191
8,0.17212760746479033,0.3,0.23076923076923078,0.6190476190476191
9,0.0884909063577652,0.3,0.23076923076923078,0.6666666666666666
10,0.08233067691326142,0.3,0.23076923076923078,0.6190476190476191
11,0.06641578301787376,0.3,0.23076923076923078,0.6666666666666666
12,0.062404319643974304,0.7,0.4117647058823529,0.5714285714285714
13,0.04417262151837349,0.7,0.4117647058823529,0.6666666666666666
14,0.03769704923033714,0.7,0.4117647058823529,0.6666666666666666
15,0.041578808426856996,0.7,0.4117647058823529,0.6666666666666666
16,0.030763548985123634,0.7,0.4117647058823529,0.6666666666666666
17,0.07019409760832787,0.5,0.3333333333333333,0.6190476190476191
18,0.04512179605662823,0.7,0.4117647058823529,0.5714285714285714
19,0.06704691722989083,0.3,0.23076923076923078,0.5238095238095237
20,0.07316429018974305,0.3,0.23076923076923078,0.4285714285714286
21,0.11722441911697387,0.3,0.23076923076923078,0.38095238095238093
22,0.03746634498238564,0.7,0.4117647058823529,0.47619047619047616
23,0.08245786055922508,0.7,0.4117647058823529,0.42857142857142855
24,0.031042082235217094,0.7,0.4117647058823529,0.42857142857142855
