model,fold,slice_type,bucket,support,accuracy,f1_macro,roc_auc,pr_auc
baseline_sage,1,degree,low,487,0.946611909650924,0.9404197252023339,0.9867330944917152,0.9803880899208085
baseline_sage,1,degree,mid,644,0.9658385093167702,0.9609430134086097,0.9919464560017556,0.9882184150691686
baseline_sage,1,degree,high,285,0.9824561403508771,0.9805128205128205,0.9973544973544974,0.9949465838025049
baseline_sage,1,purity,low,1416,0.9625706214689266,0.957824720374097,0.9913551380938304,0.9868100958571782
baseline_sage,2,degree,low,466,0.9613733905579399,0.9562112384890058,0.990018584643655,0.9841021416680121
baseline_sage,2,degree,mid,621,0.9629629629629629,0.9593984962406015,0.9950816692791749,0.9917431454311096
baseline_sage,2,degree,high,329,0.9756838905775076,0.9715815841755204,0.9973222769283925,0.9953199254766432
baseline_sage,2,purity,low,1416,0.9653954802259888,0.9611314803974018,0.9943203705196771,0.9905507875199574
baseline_sage,3,degree,low,809,0.6662546353522868,0.39985163204747776,0.9881192881192881,0.9780148613615873
baseline_sage,3,degree,mid,271,0.6826568265682657,0.4057017543859649,0.9949088623507227,0.990875955993775
baseline_sage,3,degree,high,336,0.6488095238095238,0.3935018050541516,0.9974731767998757,0.995738316487072
baseline_sage,3,purity,low,1416,0.6652542372881356,0.3994910941475827,0.9920426957635697,0.9855226035250695
baseline_sage,4,degree,low,457,0.9234135667396062,0.9085963438537541,0.977990656208478,0.9718432149092546
baseline_sage,4,degree,mid,626,0.950479233226837,0.9435732666501897,0.9969035037528188,0.9956937434258597
baseline_sage,4,degree,high,333,0.9459459459459459,0.9328629032258065,0.9939399112325025,0.9895271863273509
baseline_sage,4,purity,low,1416,0.940677966101695,0.9301379807771375,0.9905824755659474,0.9872307623833001
baseline_sage,5,degree,low,464,0.9547413793103449,0.9495377922784122,0.9880894308943089,0.9839191094836901
baseline_sage,5,degree,mid,637,0.9701726844583988,0.9648439428928297,0.9950252209727428,0.9906548179519403
baseline_sage,5,degree,high,315,0.9968253968253968,0.996556662039112,0.9999127171161736,0.999848759830611
baseline_sage,5,purity,low,1416,0.971045197740113,0.9671968679495386,0.9941031291712579,0.9909935928465654
baseline_plus_gps_transformer,1,degree,low,487,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,1,degree,mid,644,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,1,degree,high,285,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,1,purity,low,1416,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,2,degree,low,466,0.9978540772532188,0.997571335504886,1.0,1.0
baseline_plus_gps_transformer,2,degree,mid,621,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,2,degree,high,329,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,2,purity,low,1416,0.9992937853107344,0.9992075958873331,1.0,1.0
baseline_plus_gps_transformer,3,degree,low,809,0.9950556242274413,0.9944512270401514,0.9998763141620284,0.9997600903076466
baseline_plus_gps_transformer,3,degree,mid,271,0.996309963099631,0.9957548130394598,1.0,1.0
baseline_plus_gps_transformer,3,degree,high,336,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,3,purity,low,1416,0.9964689265536724,0.9960421079464745,0.9999440099617476,0.9998916969916571
baseline_plus_gps_transformer,4,degree,low,457,0.9978118161925602,0.997547612275891,0.9999785692855001,0.9999581064097192
baseline_plus_gps_transformer,4,degree,mid,626,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,4,degree,high,333,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,4,purity,low,1416,0.9992937853107344,0.9992067649060694,0.9999910415938796,0.9999823455678548
baseline_plus_gps_transformer,5,degree,low,464,0.9956896551724138,0.9952974561670214,0.999979674796748,0.9999630450849963
baseline_plus_gps_transformer,5,degree,mid,637,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,5,degree,high,315,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,5,purity,low,1416,0.998587570621469,0.9984160187929974,0.9999977603984699,0.9999955585165445
